Rk,Team,Pace,FTr,3PAr,TS%,team_eFG%,team_TOV%,team_ORB%,team_FT/FGA,opp_eFG%,opp_TOV%,opp_DRB%,opp_FT/FGA
1,GSW,99.8,0.259,0.359,0.597,0.563,13.2,22.8,0.204,0.486,13.5,74.9,0.198
2,SAS,94.2,0.263,0.281,0.564,0.524,12.6,24,0.21,0.492,13.5,77.6,0.192
3,HOU,100,0.304,0.462,0.583,0.545,13.3,24.6,0.233,0.519,13.2,75.8,0.194
4,TOR,94.7,0.293,0.289,0.561,0.517,11.8,25,0.233,0.507,13.5,76.3,0.223
5,LAC,96.1,0.312,0.329,0.574,0.537,12,21.5,0.233,0.506,12.1,76.9,0.211
6,UTA,91.6,0.288,0.327,0.563,0.526,13.2,23.2,0.215,0.493,11.8,78.9,0.195
7,CLE,96.2,0.275,0.399,0.58,0.547,12.6,21.9,0.206,0.516,11.4,75.8,0.174
8,BOS,96.8,0.273,0.393,0.567,0.525,12.2,21.2,0.22,0.503,12.6,75.3,0.223
9,WAS,97.4,0.254,0.284,0.564,0.528,12.8,24.1,0.199,0.524,13.8,75.5,0.213
10,MIA,95.2,0.251,0.314,0.541,0.512,12.4,24.2,0.177,0.496,12.6,76.4,0.22
11,OKC,97.8,0.295,0.295,0.54,0.5,13.2,27.9,0.22,0.511,12.5,79,0.218
12,MEM,92.3,0.28,0.316,0.535,0.491,12.1,24.8,0.219,0.506,13.6,77.5,0.256
13,DEN,98.3,0.276,0.329,0.568,0.53,13.2,27.3,0.214,0.532,10.9,78.7,0.194
14,CHI,95.3,0.259,0.256,0.53,0.487,12.3,27,0.206,0.507,12.4,76.8,0.169
15,CHO,95.7,0.279,0.335,0.547,0.501,10.7,19.9,0.227,0.523,12.1,79.6,0.164
16,IND,95.9,0.261,0.272,0.558,0.516,12.8,21.2,0.212,0.512,13.6,75.5,0.225
17,MIL,94.5,0.274,0.29,0.565,0.527,13.2,21.5,0.21,0.518,13.6,75.4,0.215
18,POR,96.7,0.275,0.322,0.559,0.52,12.5,23,0.214,0.508,11.6,76.8,0.241
19,ATL,97.4,0.295,0.309,0.541,0.504,14.2,23.6,0.215,0.507,13.8,76.1,0.179
20,DET,95,0.218,0.263,0.521,0.492,10.9,24.1,0.157,0.516,12.1,81.2,0.197
21,MIN,94.6,0.287,0.249,0.555,0.511,12.9,27.2,0.229,0.535,13.2,75.9,0.212
22,NOP,98,0.256,0.308,0.539,0.504,11.7,18.5,0.192,0.509,12.4,76.8,0.177
23,DAL,92.2,0.225,0.366,0.541,0.505,11.6,18.1,0.18,0.529,14.4,77.6,0.218
24,NYK,96,0.239,0.279,0.534,0.496,12.4,26.6,0.188,0.511,11.7,74.1,0.214
25,SAC,94.9,0.284,0.291,0.556,0.516,13.7,21,0.22,0.528,12.9,76.3,0.227
26,PHO,100.3,0.297,0.255,0.538,0.493,13.4,26,0.231,0.525,13.1,76.4,0.264
27,PHI,98.5,0.258,0.349,0.539,0.501,14.9,22.4,0.199,0.512,13.5,75.3,0.234
28,BRK,101.3,0.289,0.371,0.551,0.507,14.7,19.6,0.228,0.513,11.6,76.1,0.212
29,ORL,96.8,0.246,0.3,0.524,0.489,12.1,21.6,0.184,0.523,11.9,77.4,0.201
30,LAL,98.5,0.259,0.295,0.537,0.501,13.5,25,0.195,0.542,13,75.8,0.213
