Date,Location,Team,OppTeam,TeamId,GameId,PercentBet_ML,Open_Line_ML,Pinnacle_ML,5dimes_ML,Heritage_ML,Bovada_ML,Betonline_ML,Average_Line_ML,Best_Line_ML,Worst_Line_ML,PercentBet_Spread,Open_Line_Spread,Open_Odds_Spread,Pinnacle_Line_Spread,Pinnacle_Odds_Spread,5dimes_Line_Spread,5dimes_Odds_Spread,Heritage_Line_Spread,Heritage_Odds_Spread,Bovada_Line_Spread,Bovada_Odds_Spread,Betonline_Line_Spread,Betonline_Odds_Spread,Average_Line_Spread,Average_Odds_Spread,Best_Line_Spread,Worst_Line_Spread,Best_Odds_Spread,Worst_Odds_Spread,PercentBet_OU,Open_Line_OU,Open_Odds_OU,Pinnacle_Line_OU,Pinnacle_Odds_OU,5dimes_Line_OU,5dimes_Odds_OU,Heritage_Line_OU,Heritage_Odds_OU,Bovada_Line_OU,Bovada_Odds_OU,Betonline_Line_OU,Betonline_Odds_OU,Average_Line_OU,Average_Odds_OU,Best_Line_OU,Worst_Line_OU,Best_Odds_OU,Worst_Odds_OU,Pts,Spread,Result,Total
2017-10-17,away,Boston,Cleveland,1610612738,0021700001,50.4,150.0,166,170,165.0,170.0,175.0,169.2,175.0,165.0,39.1,4.0,-115,4.5,-106,4.5,-109,4.5,-105,5.0,-110,4.5,-109,4.5,-109.0,5.0,4.0,-105,-115,47.0,216.5,-110,216.5,-101,216.0,-105.0,216.0,-105,216.0,-110,216.0,-110,216.17,-106.83,216.5,216.0,-101.0,-110,99.0,-3.0,L,201.0
2017-10-17,home,Cleveland,Boston,1610612739,0021700001,49.6,-170.0,-185,-185,-190.0,-200.0,-205.0,-193.0,-185.0,-205.0,60.9,-4.0,-105,-4.5,-104,-4.5,-101,-4.5,-105,-5.0,-110,-4.5,-111,-4.5,-106.0,-4.0,-5.0,-101,-111,53.0,216.5,-110,216.5,-109,216.0,-105.0,216.0,-105,216.0,-110,216.0,-110,216.17,-108.17,216.5,216.0,-105.0,-110,102.0,3.0,W,201.0
2017-10-17,away,Houston,Golden State,1610612745,0021700002,52.7,405.0,377,420,390.0,340.0,375.0,380.4,420.0,340.0,41.4,9.0,-107,9.5,-106,9.5,-108,9.5,-105,9.5,-115,9.5,-103,9.42,-107.33,9.5,9.0,-103,-115,43.1,235.0,-110,230.5,-110,231.0,-103.0,232.5,-105,231.0,-115,230.5,-115,231.75,-109.67,235.0,230.5,-103.0,-115,122.0,1.0,W,243.0
2017-10-17,home,Golden State,Houston,1610612744,0021700002,47.3,-500.0,-440,-475,-515.0,-480.0,-450.0,-472.0,-440.0,-515.0,58.6,-9.0,-113,-9.5,-104,-9.5,-102,-9.5,-105,-9.5,-105,-9.5,-117,-9.42,-107.67,-9.0,-9.5,-102,-117,56.9,235.0,-110,230.5,-100,231.0,-107.0,232.5,-105,231.0,-105,230.5,-105,231.75,-105.33,235.0,230.5,-100.0,-110,121.0,-1.0,L,243.0
2017-10-18,away,Charlotte,Detroit,1610612766,0021700003,51.3,130.0,127,130,125.0,125.0,123.0,126.0,130.0,123.0,48.0,3.5,-110,3.0,-111,3.0,-109,2.5,-105,3.0,-105,2.5,-113,2.92,-108.83,3.5,2.5,-105,-113,42.9,203.0,-110,202.0,-105,202.0,-102.0,202.0,-105,202.0,-110,202.0,-115,202.17,-107.83,203.0,202.0,-102.0,-115,90.0,-12.0,L,192.0
2017-10-18,home,Detroit,Charlotte,1610612765,0021700003,48.7,-150.0,-140,-140,-145.0,-145.0,-143.0,-142.6,-140.0,-145.0,52.0,-3.5,-110,-3.0,-101,-3.0,-101,-2.5,-105,-3.0,-115,-2.5,-107,-2.92,-106.5,-2.5,-3.5,-101,-115,57.1,203.0,-110,202.0,-105,202.0,-108.0,202.0,-105,202.0,-110,202.0,-105,202.17,-107.17,203.0,202.0,-105.0,-110,102.0,12.0,W,192.0
2017-10-18,away,Brooklyn,Indiana,1610612751,0021700004,43.1,135.0,139,140,130.0,135.0,130.0,134.8,140.0,130.0,13.3,5.0,-110,3.0,-104,3.0,-105,3.0,-105,3.0,-110,3.0,-110,3.33,-107.33,5.0,3.0,-104,-110,0.0,212.5,-110,216.5,-110,216.5,-108.0,216.5,-105,217.0,-110,217.0,-105,216.0,-108.0,217.0,212.5,-105.0,-110,131.0,-9.0,L,271.0
2017-10-18,home,Indiana,Brooklyn,1610612754,0021700004,56.9,-155.0,-154,-150,-150.0,-155.0,-150.0,-151.8,-150.0,-155.0,86.7,-5.0,-110,-3.0,-106,-3.0,-105,-3.0,-105,-3.0,-110,-3.0,-110,-3.33,-107.67,-3.0,-5.0,-105,-110,100.0,212.5,-110,216.5,-100,216.5,-102.0,216.5,-105,217.0,-110,217.0,-115,216.0,-107.0,217.0,212.5,-100.0,-115,140.0,9.0,W,271.0
2017-10-18,away,Miami,Orlando,1610612748,0021700005,0.0,-150.0,-162,-160,-165.0,-170.0,-164.0,-164.2,-160.0,-170.0,58.2,-2.5,-110,-3.5,-106,-3.5,-107,-3.5,-105,-4.0,-110,-3.5,-113,-3.42,-108.5,-2.5,-4.0,-105,-113,0.0,207.0,-110,205.5,-103,205.5,-107.0,205.5,-105,205.0,-115,205.5,-110,205.67,-108.33,207.0,205.0,-103.0,-115,109.0,-7.0,L,225.0
2017-10-18,home,Orlando,Miami,1610612753,0021700005,100.0,130.0,146,150,145.0,150.0,144.0,147.0,150.0,144.0,41.8,2.5,-110,3.5,-104,3.5,-103,3.5,-105,4.0,-110,3.5,-107,3.42,-106.5,4.0,2.5,-103,-110,100.0,207.0,-110,205.5,-107,205.5,-103.0,205.5,-105,205.0,-105,205.5,-110,205.67,-106.67,207.0,205.0,-103.0,-110,116.0,7.0,W,225.0
2017-10-18,away,Philadelphia,Washington,1610612755,0021700006,56.3,250.0,252,240,230.0,235.0,230.0,237.4,252.0,230.0,52.5,6.0,-110,6.5,-102,6.5,-103,6.5,-105,6.5,-115,6.5,-105,6.42,-106.67,6.5,6.0,-102,-115,62.1,215.0,-110,218.0,-104,218.0,-103.0,218.0,-105,218.0,-110,217.5,-115,217.42,-107.83,218.0,215.0,-103.0,-115,115.0,-5.0,L,235.0
