Date,Location,Team,OppTeam,TeamId,GameId,PercentBet_ML,Open_Line_ML,Pinnacle_ML,5dimes_ML,Heritage_ML,Bovada_ML,Betonline_ML,Average_Line_ML,Best_Line_ML,Worst_Line_ML,PercentBet_Spread,Open_Line_Spread,Open_Odds_Spread,Pinnacle_Line_Spread,Pinnacle_Odds_Spread,5dimes_Line_Spread,5dimes_Odds_Spread,Heritage_Line_Spread,Heritage_Odds_Spread,Bovada_Line_Spread,Bovada_Odds_Spread,Betonline_Line_Spread,Betonline_Odds_Spread,Average_Line_Spread,Average_Odds_Spread,Best_Line_Spread,Worst_Line_Spread,Best_Odds_Spread,Worst_Odds_Spread,PercentBet_OU,Open_Line_OU,Open_Odds_OU,Pinnacle_Line_OU,Pinnacle_Odds_OU,5dimes_Line_OU,5dimes_Odds_OU,Heritage_Line_OU,Heritage_Odds_OU,Bovada_Line_OU,Bovada_Odds_OU,Betonline_Line_OU,Betonline_Odds_OU,Average_Line_OU,Average_Odds_OU,Best_Line_OU,Worst_Line_OU,Best_Odds_OU,Worst_Odds_OU,Pts,Spread,Result,Total
2019-04-13,away,Orlando,Toronto,1610612753,0041800111,41.2,317.0,406.0,420.0,405.0,375.0,410.0,403.2,420.0,375.0,46.9,8.0,-110.0,9.5,-101.0,9.5,-105.0,9.5,-105.0,9.5,-110.0,9.5,-119.0,9.25,-108.33,9.5,8.0,-101.0,-119.0,48.2,,,212.5,-106.0,212.5,-105.0,213.5,-105.0,213.0,-105.0,212.5,-110.0,212.8,-106.2,213.5,212.5,-105.0,-110.0,104,3,W,205
2019-04-13,home,Toronto,Orlando,1610612761,0041800111,58.8,-400.0,-477.0,-475.0,-530.0,-550.0,-505.0,-507.4,-475.0,-550.0,53.1,-8.0,-110.0,-9.5,-109.0,-9.5,-105.0,-9.5,-105.0,-9.5,-110.0,-9.5,-101.0,-9.25,-106.67,-8.0,-9.5,-101.0,-110.0,51.8,,,212.5,-104.0,212.5,-105.0,213.5,-105.0,213.0,-115.0,212.5,-110.0,212.8,-107.8,213.5,212.5,-104.0,-115.0,101,-3,L,205
2019-04-13,away,Brooklyn,Philadelphia,1610612751,0041800121,51.2,184.0,286.0,290.0,280.0,280.0,285.0,284.2,290.0,280.0,57.6,7.5,-110.0,7.5,-101.0,8.0,-109.0,8.0,-105.0,7.5,-110.0,7.5,-100.0,7.67,-105.83,8.0,7.5,-100.0,-110.0,55.1,232.0,-110.0,227.5,-105.0,228.0,-101.0,228.0,-105.0,228.0,-105.0,228.0,-110.0,228.58,-106.0,232.0,227.5,-101.0,-110.0,111,9,W,213
2019-04-13,home,Philadelphia,Brooklyn,1610612755,0041800121,48.8,-220.0,-326.0,-320.0,-350.0,-360.0,-340.0,-339.2,-320.0,-360.0,42.4,-7.5,-110.0,-7.5,-109.0,-8.0,-101.0,-8.0,-105.0,-7.5,-110.0,-7.5,-120.0,-7.67,-109.17,-7.5,-8.0,-101.0,-120.0,44.9,232.0,-110.0,227.5,-105.0,228.0,-109.0,228.0,-105.0,228.0,-115.0,228.0,-110.0,228.58,-109.0,232.0,227.5,-105.0,-115.0,102,-9,L,213
2019-04-13,away,L.A. Clippers,Golden State,1610612746,0041800141,48.5,797.0,874.0,950.0,920.0,750.0,900.0,878.8,950.0,750.0,43.7,11.5,-105.0,13.5,-100.0,13.5,-105.0,14.0,-105.0,14.0,-115.0,13.5,-105.0,13.33,-105.83,14.0,11.5,-100.0,-115.0,55.7,230.5,-110.0,233.5,-105.0,233.5,-102.0,234.0,-105.0,234.0,-110.0,233.5,-110.0,233.17,-107.0,234.0,230.5,-102.0,-110.0,104,-17,L,225
2019-04-13,home,Golden State,L.A. Clippers,1610612744,0041800141,51.5,-1300.0,-1177.0,-1150.0,-1320.0,-1400.0,-1350.0,-1279.4,-1150.0,-1400.0,56.3,-11.5,-115.0,-13.5,-110.0,-13.5,-105.0,-14.0,-105.0,-14.0,-105.0,-13.5,-115.0,-13.33,-109.17,-11.5,-14.0,-105.0,-115.0,44.3,230.5,-110.0,233.5,-105.0,233.5,-108.0,234.0,-105.0,234.0,-110.0,233.5,-110.0,233.17,-108.0,234.0,230.5,-105.0,-110.0,121,17,W,225
2019-04-13,away,San Antonio,Denver,1610612759,0041800151,49.1,184.0,211.0,215.0,215.0,220.0,210.0,214.2,220.0,210.0,46.7,5.0,-110.0,5.5,-103.0,5.5,-105.0,5.5,-105.0,6.0,-115.0,5.5,-108.0,5.5,-107.67,6.0,5.0,-103.0,-115.0,52.0,211.5,-110.0,210.5,-104.0,210.5,-105.0,211.0,-105.0,211.0,-110.0,210.5,-110.0,210.83,-107.33,211.5,210.5,-104.0,-110.0,101,5,W,197
2019-04-13,home,Denver,San Antonio,1610612743,0041800151,50.9,-220.0,-236.0,-235.0,-265.0,-270.0,-250.0,-251.2,-235.0,-270.0,53.3,-5.0,-110.0,-5.5,-107.0,-5.5,-105.0,-5.5,-105.0,-6.0,-105.0,-5.5,-112.0,-5.5,-107.33,-5.0,-6.0,-105.0,-112.0,48.0,211.5,-110.0,210.5,-106.0,210.5,-105.0,211.0,-105.0,211.0,-110.0,210.5,-110.0,210.83,-107.67,211.5,210.5,-105.0,-110.0,96,-5,L,197
2019-04-14,away,Detroit,Milwaukee,1610612765,0041800101,49.2,755.0,1037.0,1100.0,1070.0,900.0,975.0,1016.4,1100.0,900.0,43.0,12.0,-105.0,14.5,-102.0,15.0,-102.0,15.0,-105.0,15.0,-110.0,15.0,-115.0,14.42,-106.5,15.0,12.0,-102.0,-115.0,50.2,219.5,-110.0,215.5,-103.0,215.0,-105.0,215.5,-105.0,215.5,-110.0,215.5,-104.0,216.08,-106.17,219.5,215.0,-103.0,-110.0,86,-35,L,207
2019-04-14,home,Milwaukee,Detroit,1610612749,0041800101,50.8,-1200.0,-1473.0,-1400.0,-1620.0,-1900.0,-1500.0,-1578.6,-1400.0,-1900.0,57.0,-12.0,-115.0,-14.5,-113.0,-15.0,-108.0,-15.0,-105.0,-15.0,-110.0,-15.0,-105.0,-14.42,-109.33,-12.0,-15.0,-105.0,-115.0,49.8,219.5,-110.0,215.5,-107.0,215.0,-105.0,215.5,-105.0,215.5,-110.0,215.5,-116.0,216.08,-108.83,219.5,215.0,-105.0,-116.0,121,35,W,207
