team_home,team_away,minutes_played_home,fg_home,fga_home,fg_pct_home,fg3_home,fg3a_home,fg3_pct_home,ft_home,fta_home,ft_pct_home,orb_home,drb_home,trb_home,ast_home,stl_home,blk_home,tov_home,ts_pct_home,efg_pct_home,fg3a_per_fga_pct_home,fta_per_fga_pct_home,orb_pct_home,drb_pct_home,trb_pct_home,ast_pct_home,stl_pct_home,blk_pct_home,tov_pct_home,usg_pct_home,off_rtg_home,def_rtg_home,pf_home,pts_home,home_team_home,home_team_bin_home,minutes_played_away,fg_away,fga_away,fg_pct_away,fg3_away,fg3a_away,fg3_pct_away,ft_away,fta_away,ft_pct_away,orb_away,drb_away,trb_away,ast_away,stl_away,blk_away,tov_away,ts_pct_away,efg_pct_away,fg3a_per_fga_pct_away,fta_per_fga_pct_away,orb_pct_away,drb_pct_away,trb_pct_away,ast_pct_away,stl_pct_away,blk_pct_away,tov_pct_away,usg_pct_away,off_rtg_away,def_rtg_away,pf_away,pts_away,home_team_away,home_team_bin_away,game_code,date,NBA_season,playoffs
TOR,DAL,240.0,44.0,91.0,0.484,11.0,27.0,0.407,17.0,20.0,0.85,12.0,38.0,50.0,23.0,10.0,5.0,12.0,0.581,0.544,0.297,0.22,26.1,79.2,53.2,52.3,9.9,8.1,10.7,100.0,115.2,106.2,22.0,116.0,TOR,True,240.0,38.0,92.0,0.413,12.0,30.0,0.4,19.0,24.0,0.792,10.0,34.0,44.0,22.0,6.0,6.0,14.0,0.522,0.478,0.326,0.261,20.8,73.9,46.8,57.9,6.0,9.4,12.0,100.0,106.2,115.2,17.0,107.0,TOR,False,201810260TOR,2018-10-26,18-19,0
TOR,BOS,240.0,43.0,92.0,0.467,13.0,35.0,0.371,14.0,19.0,0.737,12.0,37.0,49.0,24.0,3.0,3.0,12.0,0.563,0.538,0.38,0.207,26.7,69.8,50.0,55.8,3.1,4.8,10.7,100.0,115.6,103.3,19.0,113.0,TOR,True,240.0,40.0,99.0,0.404,14.0,36.0,0.389,7.0,10.0,0.7,16.0,33.0,49.0,29.0,4.0,6.0,14.0,0.488,0.475,0.364,0.101,30.2,73.3,50.0,72.5,4.1,10.5,11.9,100.0,103.3,115.6,27.0,101.0,TOR,False,201810190TOR,2018-10-19,18-19,0
TOR,CLE,240.0,45.0,92.0,0.489,14.0,33.0,0.424,12.0,20.0,0.6,8.0,35.0,43.0,21.0,6.0,7.0,9.0,0.575,0.565,0.359,0.217,18.6,71.4,46.7,46.7,6.0,10.6,8.2,100.0,115.6,103.7,29.0,116.0,TOR,True,240.0,34.0,85.0,0.4,7.0,19.0,0.368,29.0,39.0,0.744,14.0,35.0,49.0,17.0,4.0,0.0,16.0,0.509,0.441,0.224,0.459,28.6,81.4,53.3,50.0,4.0,0.0,13.5,100.0,103.7,115.6,25.0,104.0,TOR,False,201810170TOR,2018-10-17,18-19,0
TOR,CHO,240.0,50.0,87.0,0.575,15.0,39.0,0.385,12.0,14.0,0.857,5.0,41.0,46.0,36.0,10.0,8.0,13.0,0.682,0.661,0.448,0.161,15.6,74.5,52.9,72.0,10.0,11.6,12.2,100.0,126.8,105.8,21.0,127.0,TOR,True,240.0,41.0,97.0,0.423,9.0,28.0,0.321,15.0,18.0,0.833,14.0,27.0,41.0,21.0,5.0,5.0,12.0,0.505,0.469,0.289,0.186,25.5,84.4,47.1,51.2,5.0,10.4,10.3,100.0,105.8,126.8,14.0,106.0,TOR,False,201810220TOR,2018-10-22,18-19,0
TOR,MIN,240.0,46.0,89.0,0.517,11.0,32.0,0.344,9.0,12.0,0.75,11.0,33.0,44.0,26.0,9.0,8.0,16.0,0.594,0.579,0.36,0.135,28.2,67.3,50.0,56.5,9.2,12.1,14.5,100.0,115.1,107.9,18.0,112.0,TOR,True,240.0,40.0,96.0,0.417,15.0,30.0,0.5,10.0,16.0,0.625,16.0,28.0,44.0,25.0,10.0,5.0,15.0,0.51,0.495,0.313,0.167,32.7,71.8,50.0,62.5,10.3,8.8,12.7,100.0,107.9,115.1,17.0,105.0,TOR,False,201810240TOR,2018-10-24,18-19,0
TOR,DET,240.0,45.0,92.0,0.489,4.0,20.0,0.2,10.0,17.0,0.588,12.0,37.0,49.0,23.0,9.0,3.0,20.0,0.523,0.511,0.217,0.185,27.3,84.1,55.7,51.1,8.6,5.2,16.7,100.0,98.9,100.8,19.0,104.0,TOR,True,240.0,44.0,91.0,0.484,10.0,33.0,0.303,8.0,13.0,0.615,7.0,32.0,39.0,24.0,8.0,5.0,17.0,0.548,0.538,0.363,0.143,15.9,72.7,44.3,54.5,7.6,6.9,14.9,100.0,100.8,98.9,24.0,106.0,TOR,False,201811140TOR,2018-11-14,18-19,0
TOR,NOP,240.0,39.0,97.0,0.402,13.0,45.0,0.289,19.0,22.0,0.864,13.0,30.0,43.0,22.0,9.0,5.0,10.0,0.516,0.469,0.464,0.227,24.5,68.2,44.3,56.4,8.9,6.9,8.6,100.0,108.7,124.5,20.0,110.0,TOR,True,240.0,54.0,99.0,0.545,10.0,27.0,0.37,8.0,13.0,0.615,14.0,40.0,54.0,30.0,2.0,4.0,13.0,0.602,0.596,0.273,0.131,31.8,75.5,55.7,55.6,2.0,7.7,11.0,100.0,124.5,108.7,20.0,126.0,TOR,False,201811120TOR,2018-11-12,18-19,0
TOR,NYK,240.0,42.0,79.0,0.532,14.0,35.0,0.4,30.0,40.0,0.75,12.0,34.0,46.0,24.0,8.0,4.0,15.0,0.663,0.62,0.443,0.506,27.9,68.0,49.5,57.1,8.0,5.4,13.4,100.0,128.0,112.0,20.0,128.0,TOR,True,240.0,44.0,96.0,0.458,6.0,22.0,0.273,18.0,22.0,0.818,16.0,31.0,47.0,18.0,12.0,6.0,14.0,0.53,0.49,0.229,0.229,32.0,72.1,50.5,40.9,12.0,13.6,11.7,100.0,112.0,128.0,26.0,112.0,TOR,False,201811100TOR,2018-11-10,18-19,0
TOR,PHI,240.0,47.0,92.0,0.511,11.0,27.0,0.407,24.0,28.0,0.857,9.0,34.0,43.0,29.0,13.0,6.0,15.0,0.618,0.571,0.293,0.304,23.1,66.7,47.8,61.7,12.1,11.8,12.6,100.0,120.5,104.6,26.0,129.0,TOR,True,240.0,38.0,91.0,0.418,14.0,40.0,0.35,22.0,30.0,0.733,17.0,30.0,47.0,25.0,7.0,5.0,23.0,0.537,0.495,0.44,0.33,33.3,76.9,52.2,65.8,6.5,7.7,18.1,100.0,104.6,120.5,24.0,112.0,TOR,False,201810300TOR,2018-10-30,18-19,0
TOR,WAS,240.0,46.0,93.0,0.495,17.0,39.0,0.436,16.0,19.0,0.842,13.0,37.0,50.0,32.0,5.0,6.0,15.0,0.617,0.586,0.419,0.204,30.2,72.5,53.2,69.6,4.9,11.1,12.9,100.0,123.5,105.7,23.0,125.0,TOR,True,240.0,40.0,100.0,0.4,9.0,46.0,0.196,18.0,19.0,0.947,14.0,30.0,44.0,28.0,8.0,7.0,12.0,0.494,0.445,0.46,0.19,27.5,69.8,46.8,70.0,7.9,13.0,10.0,100.0,105.7,123.5,16.0,107.0,TOR,False,201811230TOR,2018-11-23,18-19,0
TOR,LAC,240.0,43.0,94.0,0.457,9.0,33.0,0.273,26.0,31.0,0.839,16.0,40.0,56.0,21.0,10.0,5.0,14.0,0.562,0.505,0.351,0.33,35.6,85.1,60.9,48.8,9.7,6.5,11.5,100.0,117.2,99.8,28.0,121.0,TOR,True,240.0,38.0,89.0,0.427,2.0,12.0,0.167,25.0,29.0,0.862,7.0,29.0,36.0,15.0,7.0,7.0,13.0,0.506,0.438,0.135,0.326,14.9,64.4,39.1,39.5,6.8,11.5,11.3,100.0,99.8,117.2,24.0,103.0,TOR,False,201902030TOR,2019-02-03,18-19,0
TOR,CLE,240.0,48.0,91.0,0.527,9.0,31.0,0.29,21.0,26.0,0.808,13.0,31.0,44.0,21.0,9.0,5.0,8.0,0.615,0.577,0.341,0.286,31.0,73.8,52.4,43.8,9.6,8.6,7.2,100.0,134.0,117.0,23.0,126.0,TOR,True,240.0,39.0,82.0,0.476,9.0,24.0,0.375,23.0,30.0,0.767,11.0,29.0,40.0,20.0,5.0,5.0,11.0,0.578,0.53,0.293,0.366,26.2,69.0,47.6,51.3,5.3,8.3,10.4,100.0,117.0,134.0,23.0,110.0,TOR,False,201812210TOR,2018-12-21,18-19,0
TOR,SAS,240.0,40.0,94.0,0.426,14.0,30.0,0.467,26.0,32.0,0.813,14.0,33.0,47.0,24.0,8.0,3.0,9.0,0.555,0.5,0.319,0.34,26.4,78.6,49.5,60.0,7.9,5.8,7.7,100.0,118.9,116.0,20.0,120.0,TOR,True,240.0,43.0,89.0,0.483,12.0,37.0,0.324,19.0,22.0,0.864,9.0,39.0,48.0,27.0,7.0,6.0,14.0,0.593,0.551,0.416,0.247,21.4,73.6,50.5,62.8,6.9,9.4,12.4,100.0,116.0,118.9,22.0,117.0,TOR,False,201902220TOR,2019-02-22,18-19,0
TOR,NYK,240.0,49.0,88.0,0.557,17.0,40.0,0.425,13.0,22.0,0.591,5.0,45.0,50.0,36.0,5.0,6.0,14.0,0.655,0.653,0.455,0.25,14.7,86.5,58.1,73.5,4.8,12.0,12.5,100.0,123.5,88.8,22.0,128.0,TOR,True,240.0,28.0,85.0,0.329,8.0,35.0,0.229,28.0,32.0,0.875,7.0,29.0,36.0,16.0,8.0,4.0,13.0,0.464,0.376,0.412,0.376,13.5,85.3,41.9,57.1,7.7,8.3,11.6,100.0,88.8,123.5,18.0,92.0,TOR,False,201903180TOR,2019-03-18,18-19,0
TOR,POR,240.0,45.0,81.0,0.556,10.0,28.0,0.357,19.0,21.0,0.905,2.0,30.0,32.0,29.0,9.0,6.0,14.0,0.659,0.617,0.346,0.259,5.7,76.9,43.2,64.4,9.0,11.5,13.4,100.0,118.5,116.5,17.0,119.0,TOR,True,240.0,42.0,85.0,0.494,14.0,33.0,0.424,19.0,23.0,0.826,9.0,33.0,42.0,24.0,9.0,4.0,16.0,0.615,0.576,0.388,0.271,23.1,94.3,56.8,57.1,9.0,7.5,14.4,100.0,116.5,118.5,25.0,117.0,TOR,False,201903010TOR,2019-03-01,18-19,0
TOR,BRK,240.0,48.0,105.0,0.457,11.0,35.0,0.314,15.0,24.0,0.625,13.0,42.0,55.0,32.0,10.0,4.0,9.0,0.528,0.51,0.333,0.229,22.4,82.4,50.5,66.7,9.2,6.9,7.2,100.0,112.3,96.6,22.0,122.0,TOR,True,240.0,37.0,88.0,0.42,11.0,30.0,0.367,20.0,30.0,0.667,9.0,45.0,54.0,20.0,4.0,4.0,17.0,0.519,0.483,0.341,0.341,17.6,77.6,49.5,54.1,3.7,5.7,14.4,100.0,96.6,112.3,21.0,105.0,TOR,False,201901110TOR,2019-01-11,18-19,0
TOR,IND,240.0,38.0,93.0,0.409,7.0,30.0,0.233,16.0,21.0,0.762,11.0,32.0,43.0,20.0,15.0,9.0,9.0,0.484,0.446,0.323,0.226,21.6,78.0,46.7,52.6,15.4,15.0,8.1,100.0,101.9,98.8,19.0,99.0,TOR,True,240.0,38.0,80.0,0.475,9.0,20.0,0.45,11.0,16.0,0.688,9.0,40.0,49.0,19.0,6.0,7.0,20.0,0.551,0.531,0.25,0.2,22.0,78.4,53.3,50.0,6.2,11.1,18.7,100.0,98.8,101.9,21.0,96.0,TOR,False,201812190TOR,2018-12-19,18-19,0
TOR,GSW,265.0,47.0,90.0,0.522,15.0,38.0,0.395,22.0,24.0,0.917,7.0,30.0,37.0,25.0,5.0,6.0,14.0,0.651,0.606,0.422,0.267,19.4,63.8,44.6,53.2,4.8,8.2,12.2,100.0,125.3,122.4,23.0,131.0,TOR,True,265.0,50.0,103.0,0.485,11.0,30.0,0.367,17.0,20.0,0.85,17.0,29.0,46.0,27.0,6.0,5.0,14.0,0.572,0.539,0.291,0.194,36.2,80.6,55.4,54.0,5.7,9.6,11.1,100.0,122.4,125.3,22.0,128.0,TOR,False,201811290TOR,2018-11-29,18-19,0
TOR,PHI,240.0,43.0,100.0,0.43,8.0,29.0,0.276,19.0,22.0,0.864,17.0,36.0,53.0,25.0,12.0,3.0,11.0,0.515,0.47,0.29,0.22,30.9,76.6,52.0,58.1,11.8,5.7,9.1,100.0,111.0,100.2,13.0,113.0,TOR,True,240.0,40.0,88.0,0.455,11.0,35.0,0.314,11.0,14.0,0.786,11.0,38.0,49.0,26.0,7.0,5.0,21.0,0.542,0.517,0.398,0.159,23.4,69.1,48.0,65.0,6.9,7.0,18.2,100.0,100.2,111.0,23.0,102.0,TOR,False,201812050TOR,2018-12-05,18-19,0
