Team,team_abbv,OppTeam,opp_abbv,date,minutes_played,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,pf,PercentBet_ML,Open_ML,Pinnacle_ML,Heritage_ML,Bovada_ML,Betonline_ML,Average_ML,Best_ML,Worst_ML,PercentBet_Spread,Open_Line_Spread,Open_Odds_Spread,Pinnacle_Line_Spread,Pinnacle_Odds_Spread,Heritage_Line_Spread,Heritage_Odds_Spread,Bovada_Line_Spread,Bovada_Odds_Spread,Betonline_Line_Spread,Betonline_Odds_Spread,Average_Line_Spread,Average_Odds_Spread,Best_Line_Spread,Worst_Line_Spread,Best_Odds_Spread,Worst_Odds_Spread,PercentBet_OU,Open_Line_OU,Open_Odds_OU,Pinnacle_Line_OU,Pinnacle_Odds_OU,Heritage_Line_OU,Heritage_Odds_OU,Bovada_Line_OU,Bovada_Odds_OU,Betonline_Line_OU,Betonline_Odds_OU,Average_Line_OU,Average_Odds_OU,Best_Line_OU,Worst_Line_OU,Best_Odds_OU,Worst_Odds_OU,pts,Result,Spread,Total,playoffs,home_team_bin,NBA_season,game_code
Dallas,DAL,Toronto,TOR,2018-10-26,240.0,38.0,92.0,0.413,12.0,30.0,0.4,19.0,24.0,0.792,10.0,34.0,44.0,22.0,6.0,6.0,14.0,0.522,0.478,0.326,0.261,20.8,73.9,46.8,57.9,6.0,9.4,12.0,100.0,106.2,115.2,17.0,47.1,664.0,635.0,592.5,550.0,635.0,592.5,635.0,550.0,47.3,10.5,-110.0,11.5,-105.0,11.5,-105.0,11.5,-105.0,11.5,-115.0,11.5,-108.33,11.5,11.5,-105.0,-115.0,47.5,229.0,-110.0,221.5,-102.0,221.0,-105.0,222.0,-110.0,221.5,-103.0,221.5,-105.0,222.0,221.0,-102.0,-110.0,107.0,L,-9.0,223.0,0,0,18-19,201810260TOR
Toronto,TOR,Dallas,DAL,2018-10-26,240.0,44.0,91.0,0.484,11.0,27.0,0.407,17.0,20.0,0.85,12.0,38.0,50.0,23.0,10.0,5.0,12.0,0.581,0.544,0.297,0.22,26.1,79.2,53.2,52.3,9.9,8.1,10.7,100.0,115.2,106.2,22.0,52.9,-1000.0,-850.0,-875.0,-900.0,-850.0,-875.0,-850.0,-900.0,52.7,-10.5,-110.0,-11.5,-105.0,-11.5,-105.0,-11.5,-105.0,-11.5,-105.0,-11.5,-105.0,-11.5,-11.5,-105.0,-105.0,52.5,229.0,-110.0,221.5,-113.0,221.0,-105.0,222.0,-110.0,221.5,-117.0,221.5,-111.25,222.0,221.0,-105.0,-117.0,116.0,W,9.0,223.0,0,1,18-19,201810260TOR
Boston,BOS,Toronto,TOR,2018-10-19,240.0,40.0,99.0,0.404,14.0,36.0,0.389,7.0,10.0,0.7,16.0,33.0,49.0,29.0,4.0,6.0,14.0,0.488,0.475,0.364,0.101,30.2,73.3,50.0,72.5,4.1,10.5,11.9,100.0,103.3,115.6,27.0,64.3,130.0,134.0,125.0,115.0,128.0,125.5,134.0,115.0,53.4,3.0,-110.0,3.0,-104.0,3.0,-105.0,2.5,-105.0,3.0,-110.0,2.88,-106.0,3.0,2.5,-104.0,-110.0,56.4,206.5,-121.0,209.0,-110.0,209.5,-105.0,210.0,-105.0,209.0,-115.0,209.38,-108.75,210.0,209.0,-105.0,-115.0,101.0,L,-12.0,214.0,0,0,18-19,201810190TOR
Toronto,TOR,Boston,BOS,2018-10-19,240.0,43.0,92.0,0.467,13.0,35.0,0.371,14.0,19.0,0.737,12.0,37.0,49.0,24.0,3.0,3.0,12.0,0.563,0.538,0.38,0.207,26.7,69.8,50.0,55.8,3.1,4.8,10.7,100.0,115.6,103.3,19.0,35.7,-150.0,-148.0,-145.0,-135.0,-148.0,-144.0,-135.0,-148.0,46.6,-3.0,-110.0,-3.0,-106.0,-3.0,-105.0,-2.5,-115.0,-3.0,-110.0,-2.88,-109.0,-2.5,-3.0,-105.0,-115.0,43.6,206.5,-100.0,209.0,-100.0,209.5,-105.0,210.0,-115.0,209.0,-105.0,209.38,-106.25,210.0,209.0,-100.0,-115.0,113.0,W,12.0,214.0,0,1,18-19,201810190TOR
Cleveland,CLE,Toronto,TOR,2018-10-17,240.0,34.0,85.0,0.4,7.0,19.0,0.368,29.0,39.0,0.744,14.0,35.0,49.0,17.0,4.0,0.0,16.0,0.509,0.441,0.224,0.459,28.6,81.4,53.3,50.0,4.0,0.0,13.5,100.0,103.7,115.6,25.0,37.9,650.0,788.0,825.0,650.0,775.0,759.5,825.0,650.0,54.5,11.5,-110.0,12.5,-103.0,12.5,-105.0,12.5,-110.0,12.5,-107.0,12.5,-106.25,12.5,12.5,-103.0,-110.0,50.0,214.0,-110.0,215.0,-109.0,215.0,-105.0,215.0,-115.0,215.5,-115.0,215.12,-111.0,215.5,215.0,-105.0,-115.0,104.0,L,-12.0,220.0,0,0,18-19,201810170TOR
Toronto,TOR,Cleveland,CLE,2018-10-17,240.0,45.0,92.0,0.489,14.0,33.0,0.424,12.0,20.0,0.6,8.0,35.0,43.0,21.0,6.0,7.0,9.0,0.575,0.565,0.359,0.217,18.6,71.4,46.7,46.7,6.0,10.6,8.2,100.0,115.6,103.7,29.0,62.1,-1100.0,-1034.0,-1175.0,-1100.0,-1100.0,-1102.25,-1034.0,-1175.0,45.5,-11.5,-110.0,-12.5,-107.0,-12.5,-105.0,-12.5,-110.0,-12.5,-113.0,-12.5,-108.75,-12.5,-12.5,-105.0,-113.0,50.0,214.0,-110.0,215.0,-101.0,215.0,-105.0,215.0,-105.0,215.5,-105.0,215.12,-104.0,215.5,215.0,-101.0,-105.0,116.0,W,12.0,220.0,0,1,18-19,201810170TOR
Charlotte,CHO,Toronto,TOR,2018-10-22,240.0,41.0,97.0,0.423,9.0,28.0,0.321,15.0,18.0,0.833,14.0,27.0,41.0,21.0,5.0,5.0,12.0,0.505,0.469,0.289,0.186,25.5,84.4,47.1,51.2,5.0,10.4,10.3,100.0,105.8,126.8,14.0,48.8,358.0,336.0,335.0,310.0,350.0,332.75,350.0,310.0,55.8,9.0,-110.0,8.5,-102.0,8.5,-105.0,8.5,-110.0,8.5,-106.0,8.5,-105.75,8.5,8.5,-102.0,-110.0,61.0,221.0,-110.0,225.0,-101.0,225.0,-105.0,225.0,-115.0,224.5,-110.0,224.88,-107.75,225.0,224.5,-101.0,-115.0,106.0,L,-21.0,233.0,0,0,18-19,201810220TOR
Toronto,TOR,Charlotte,CHO,2018-10-22,240.0,50.0,87.0,0.575,15.0,39.0,0.385,12.0,14.0,0.857,5.0,41.0,46.0,36.0,10.0,8.0,13.0,0.682,0.661,0.448,0.161,15.6,74.5,52.9,72.0,10.0,11.6,12.2,100.0,126.8,105.8,21.0,51.2,-460.0,-387.0,-425.0,-420.0,-420.0,-413.0,-387.0,-425.0,44.2,-9.0,-110.0,-8.5,-108.0,-8.5,-105.0,-8.5,-110.0,-8.5,-114.0,-8.5,-109.25,-8.5,-8.5,-105.0,-114.0,39.0,221.0,-110.0,225.0,-111.0,225.0,-105.0,225.0,-105.0,224.5,-110.0,224.88,-107.75,225.0,224.5,-105.0,-111.0,127.0,W,21.0,233.0,0,1,18-19,201810220TOR
Minnesota,MIN,Toronto,TOR,2018-10-24,240.0,40.0,96.0,0.417,15.0,30.0,0.5,10.0,16.0,0.625,16.0,28.0,44.0,25.0,10.0,5.0,15.0,0.51,0.495,0.313,0.167,32.7,71.8,50.0,62.5,10.3,8.8,12.7,100.0,107.9,115.1,17.0,48.1,281.0,330.0,330.0,310.0,330.0,325.0,330.0,310.0,45.7,8.0,-110.0,8.5,-105.0,8.5,-105.0,8.5,-105.0,8.5,-113.0,8.5,-107.0,8.5,8.5,-105.0,-113.0,56.6,226.0,-110.0,226.5,-101.0,226.0,-105.0,227.0,-115.0,226.5,-110.0,226.5,-107.75,227.0,226.0,-101.0,-115.0,105.0,L,-7.0,217.0,0,0,18-19,201810240TOR
Toronto,TOR,Minnesota,MIN,2018-10-24,240.0,46.0,89.0,0.517,11.0,32.0,0.344,9.0,12.0,0.75,11.0,33.0,44.0,26.0,9.0,8.0,16.0,0.594,0.579,0.36,0.135,28.2,67.3,50.0,56.5,9.2,12.1,14.5,100.0,115.1,107.9,18.0,51.9,-350.0,-381.0,-410.0,-420.0,-390.0,-400.25,-381.0,-420.0,54.3,-8.0,-110.0,-8.5,-105.0,-8.5,-105.0,-8.5,-115.0,-8.5,-107.0,-8.5,-108.0,-8.5,-8.5,-105.0,-115.0,43.4,226.0,-110.0,226.5,-109.0,226.0,-105.0,227.0,-105.0,226.5,-110.0,226.5,-107.25,227.0,226.0,-105.0,-110.0,112.0,W,7.0,217.0,0,1,18-19,201810240TOR
