team,pts,game_possessions,game_code,home_team_bin,efg_pct,tov_pct,orb_pct,fta_per_fga_pct,Model_Prediction,Best_Spread,Best_Moneyline,Best_Total,Spread_Grade,Total_Grade,Moneyline_Grade,Best_Book,date
DAL,107,100.7216848,201810260TOR,0,0.478,0.12,0.208,0.261,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,10/26/2018
TOR,116,100.7216848,201810260TOR,1,0.544,0.107,0.261,0.22,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,10/26/2018
BOS,101,97.78027673,201810190TOR,0,0.475,0.119,0.302,0.101,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,10/19/2018
TOR,113,97.78027673,201810190TOR,1,0.538,0.107,0.267,0.207,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,10/19/2018
CLE,104,100.3261462,201810170TOR,0,0.441,0.135,0.286,0.459,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,10/17/2018
TOR,116,100.3261462,201810170TOR,1,0.565,0.082,0.186,0.217,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,10/17/2018
CHO,106,100.1808494,201810220TOR,0,0.469,0.103,0.255,0.186,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,10/22/2018
TOR,127,100.1808494,201810220TOR,1,0.661,0.122,0.156,0.161,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,10/22/2018
MIN,105,97.32855311,201810240TOR,0,0.495,0.127,0.327,0.167,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,10/24/2018
TOR,112,97.32855311,201810240TOR,1,0.579,0.145,0.282,0.135,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,10/24/2018
DET,106,105.1419318,201811140TOR,0,0.538,0.149,0.159,0.143,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,11/14/2018
TOR,104,105.1419318,201811140TOR,1,0.511,0.167,0.273,0.185,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,11/14/2018
NOP,126,101.2286407,201811120TOR,0,0.596,0.11,0.318,0.131,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,11/12/2018
TOR,110,101.2286407,201811120TOR,1,0.469,0.086,0.245,0.227,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,11/12/2018
NYK,112,99.97341395,201811100TOR,0,0.49,0.117,0.32,0.229,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,11/10/2018
TOR,128,99.97341395,201811100TOR,1,0.62,0.134,0.279,0.506,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,11/10/2018
PHI,112,107.0925641,201810300TOR,0,0.495,0.181,0.333,0.33,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,10/30/2018
TOR,129,107.0925641,201810300TOR,1,0.571,0.126,0.231,0.304,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,10/30/2018
WAS,107,101.1862585,201811230TOR,0,0.445,0.1,0.275,0.19,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,11/23/2018
TOR,125,101.1862585,201811230TOR,1,0.586,0.129,0.302,0.204,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,11/23/2018
LAC,103,103.2349433,201902030TOR,0,0.438,0.113,0.149,0.326,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,2/3/2019
TOR,121,103.2349433,201902030TOR,1,0.505,0.115,0.356,0.33,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,2/3/2019
CLE,110,94.05428571,201812210TOR,0,0.53,0.104,0.262,0.366,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,12/21/2018
TOR,126,94.05428571,201812210TOR,1,0.577,0.072,0.31,0.286,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,12/21/2018
SAS,117,100.8951078,201902220TOR,0,0.551,0.124,0.214,0.247,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,2/22/2019
TOR,120,100.8951078,201902220TOR,1,0.5,0.077,0.264,0.34,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,2/22/2019
NYK,92,103.6265215,201903180TOR,0,0.376,0.116,0.135,0.376,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,3/18/2019
TOR,128,103.6265215,201903180TOR,1,0.653,0.125,0.147,0.25,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,3/18/2019
POR,117,100.3905824,201903010TOR,0,0.576,0.144,0.231,0.271,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,3/1/2019
TOR,119,100.3905824,201903010TOR,1,0.617,0.134,0.057,0.259,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,3/1/2019
BRK,105,108.6499138,201901110TOR,0,0.483,0.144,0.176,0.341,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,1/11/2019
TOR,122,108.6499138,201901110TOR,1,0.51,0.072,0.224,0.229,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,1/11/2019
IND,96,97.12099235,201812190TOR,0,0.531,0.187,0.22,0.2,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,12/19/2018
TOR,99,97.12099235,201812190TOR,1,0.446,0.081,0.216,0.226,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,12/19/2018
GSW,128,104.5707417,201811290TOR,0,0.539,0.111,0.362,0.194,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,11/29/2018
TOR,131,104.5707417,201811290TOR,1,0.606,0.122,0.194,0.267,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,11/29/2018
PHI,102,101.76406,201812050TOR,0,0.517,0.182,0.234,0.159,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,12/5/2018
TOR,113,101.76406,201812050TOR,1,0.47,0.091,0.309,0.22,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,12/5/2018
PHO,109,98.463875,201901170TOR,0,0.482,0.138,0.333,0.429,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,1/17/2019
TOR,111,98.463875,201901170TOR,1,0.541,0.126,0.225,0.291,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,1/17/2019
WAS,120,110.845,201902130TOR,0,0.524,0.151,0.085,0.464,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,2/13/2019
TOR,129,110.845,201902130TOR,1,0.565,0.117,0.188,0.326,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,2/13/2019
OKC,116,96.35715286,201903220TOR,0,0.553,0.107,0.255,0.149,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,3/22/2019
TOR,109,96.35715286,201903220TOR,1,0.583,0.194,0.289,0.269,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,3/22/2019
BOS,95,98.80168794,201902260TOR,0,0.419,0.125,0.213,0.326,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,2/26/2019
TOR,118,98.80168794,201902260TOR,1,0.58,0.074,0.178,0.149,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,2/26/2019
ORL,109,99.42420732,201904010TOR,0,0.527,0.115,0.25,0.161,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,4/1/2019
TOR,121,99.42420732,201904010TOR,1,0.613,0.13,0.146,0.262,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,4/1/2019
CHI,89,93.14046296,201812300TOR,0,0.456,0.154,0.167,0.225,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,12/30/2018
TOR,95,93.14046296,201812300TOR,1,0.418,0.098,0.315,0.217,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,12/30/2018
BRK,125,104.6670565,201902110TOR,0,0.636,0.127,0.125,0.205,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,2/11/2019
TOR,127,104.6670565,201902110TOR,1,0.592,0.114,0.161,0.217,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,2/11/2019
UTA,116,99.26030983,201901010TOR,0,0.479,0.035,0.231,0.299,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,1/1/2019
TOR,122,99.26030983,201901010TOR,1,0.591,0.085,0.139,0.427,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,1/1/2019
ORL,113,100.0477717,201902240TOR,0,0.538,0.107,0.25,0.22,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,2/24/2019
TOR,98,100.0477717,201902240TOR,1,0.478,0.118,0.13,0.154,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,2/24/2019
HOU,107,90.239975,201903050TOR,0,0.535,0.088,0.225,0.212,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,3/5/2019
TOR,95,90.239975,201903050TOR,1,0.466,0.119,0.32,0.18,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,3/5/2019
ATL,101,103.7838043,201901080TOR,0,0.517,0.217,0.283,0.184,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,1/8/2019
TOR,104,103.7838043,201901080TOR,1,0.525,0.164,0.14,0.338,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,1/8/2019
IND,105,99.737,201901060TOR,0,0.479,0.12,0.267,0.213,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,1/6/2019
TOR,121,99.737,201901060TOR,1,0.618,0.14,0.2,0.2,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,1/6/2019
CHO,115,90.69875776,201903240TOR,0,0.538,0.065,0.304,0.183,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,3/24/2019
TOR,114,90.69875776,201903240TOR,1,0.656,0.136,0.107,0.169,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,3/24/2019
CHI,103,104.5226591,201903260TOR,0,0.5,0.16,0.159,0.233,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,3/26/2019
TOR,112,104.5226591,201903260TOR,1,0.558,0.139,0.05,0.186,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,3/26/2019
MIL,105,100.3582869,201901310TOR,0,0.582,0.172,0.184,0.215,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,1/31/2019
TOR,92,100.3582869,201901310TOR,1,0.435,0.139,0.157,0.14,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,1/31/2019
DEN,106,101.3819512,201812030TOR,0,0.511,0.167,0.306,0.27,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,12/3/2018
TOR,103,101.3819512,201812030TOR,1,0.523,0.156,0.171,0.138,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,12/3/2018
SAC,105,104.0444545,201901220TOR,0,0.489,0.122,0.227,0.242,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,1/22/2019
TOR,120,104.0444545,201901220TOR,1,0.527,0.131,0.267,0.385,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,1/22/2019
MIA,115,95.96381368,201811250TOR,0,0.489,0.06,0.321,0.337,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,11/25/2018
TOR,125,95.96381368,201811250TOR,1,0.583,0.082,0.275,0.278,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,11/25/2018
MIL,104,94.30248392,201812090TOR,0,0.5,0.103,0.209,0.23,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,12/9/2018
TOR,99,94.30248392,201812090TOR,1,0.495,0.102,0.234,0.074,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,12/9/2018
LAL,98,106.5298805,201903140TOR,0,0.488,0.173,0.133,0.282,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,3/14/2019
TOR,111,106.5298805,201903140TOR,1,0.484,0.141,0.245,0.319,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,3/14/2019
MEM,90,96.96774359,201901190TOR,0,0.488,0.217,0.256,0.188,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,1/19/2019
TOR,119,96.96774359,201901190TOR,1,0.583,0.093,0.2,0.178,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,1/19/2019
NYK,100,100.2014835,201812060BOS,0,0.462,0.138,0.264,0.22,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,12/6/2018
BOS,128,100.2014835,201812060BOS,1,0.603,0.082,0.175,0.217,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,12/6/2018
PHI,114,111.3990147,201812250BOS,0,0.495,0.154,0.176,0.315,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,12/25/2018
BOS,121,111.3990147,201812250BOS,1,0.481,0.072,0.217,0.185,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,12/25/2018
IND,108,101.2716176,201901090BOS,0,0.478,0.094,0.235,0.363,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,1/9/2019
BOS,135,101.2716176,201901090BOS,1,0.648,0.117,0.25,0.273,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,1/9/2019
DAL,93,96.86612308,201901040BOS,0,0.449,0.127,0.22,0.216,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,1/4/2019
BOS,114,96.86612308,201901040BOS,1,0.547,0.106,0.269,0.115,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,1/4/2019
MIL,112,120.3061609,201905190TOR,0,0.441,0.146,0.217,0.324,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,5/19/2019
TOR,118,120.3061609,201905190TOR,1,0.475,0.13,0.138,0.255,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,5/19/2019
ORL,82,93.67490385,201904160TOR,0,0.426,0.157,0.25,0.296,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,4/16/2019
TOR,111,93.67490385,201904160TOR,1,0.546,0.069,0.154,0.195,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,4/16/2019
ORL,96,98.82346154,201904230TOR,0,0.44,0.142,0.231,0.373,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,4/23/2019
TOR,115,98.82346154,201904230TOR,1,0.571,0.129,0.182,0.247,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,4/23/2019
GSW,109,93.57168129,201905300TOR,0,0.513,0.149,0.237,0.397,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,5/30/2019
TOR,118,93.57168129,201905300TOR,1,0.591,0.099,0.194,0.416,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,5/30/2019
ORL,93,96.3918,201810220BOS,0,0.462,0.085,0.16,0.108,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,10/22/2018
BOS,90,96.3918,201810220BOS,1,0.456,0.112,0.18,0.099,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,10/22/2018
NOP,100,98.18610589,201812100BOS,0,0.494,0.12,0.14,0.218,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,12/10/2018
BOS,113,98.18610589,201812100BOS,1,0.556,0.117,0.298,0.211,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,12/10/2018
CHO,103,96.86141026,201812230BOS,0,0.477,0.083,0.2,0.295,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,12/23/2018
BOS,119,96.86141026,201812230BOS,1,0.576,0.126,0.282,0.291,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,12/23/2018
PHI,95,96.50643791,201904270TOR,0,0.455,0.125,0.255,0.236,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,4/27/2019
