Date_home,Location_home,Team_home,OppTeam_home,TeamId_home,GameId_home,PercentBet_ML_home,Open_Line_ML_home,Pinnacle_ML_home,5dimes_ML_home,Heritage_ML_home,Bovada_ML_home,Betonline_ML_home,Average_Line_ML_home,Best_Line_ML_home,Worst_Line_ML_home,PercentBet_Spread_home,Open_Line_Spread_home,Open_Odds_Spread_home,Pinnacle_Line_Spread_home,Pinnacle_Odds_Spread_home,5dimes_Line_Spread_home,5dimes_Odds_Spread_home,Heritage_Line_Spread_home,Heritage_Odds_Spread_home,Bovada_Line_Spread_home,Bovada_Odds_Spread_home,Betonline_Line_Spread_home,Betonline_Odds_Spread_home,Average_Line_Spread_home,Average_Odds_Spread_home,Best_Line_Spread_home,Worst_Line_Spread_home,Best_Odds_Spread_home,Worst_Odds_Spread_home,PercentBet_OU_home,Open_Line_OU_home,Open_Odds_OU_home,Pinnacle_Line_OU_home,Pinnacle_Odds_OU_home,5dimes_Line_OU_home,5dimes_Odds_OU_home,Heritage_Line_OU_home,Heritage_Odds_OU_home,Bovada_Line_OU_home,Bovada_Odds_OU_home,Betonline_Line_OU_home,Betonline_Odds_OU_home,Average_Line_OU_home,Average_Odds_OU_home,Best_Line_OU_home,Worst_Line_OU_home,Best_Odds_OU_home,Worst_Odds_OU_home,Pts_home,Spread_home,Result_home,Total_home,playoffs_home,home_team_bin_home,team_abbv_home,game_code,Date_away,Location_away,Team_away,OppTeam_away,TeamId_away,GameId_away,PercentBet_ML_away,Open_Line_ML_away,Pinnacle_ML_away,5dimes_ML_away,Heritage_ML_away,Bovada_ML_away,Betonline_ML_away,Average_Line_ML_away,Best_Line_ML_away,Worst_Line_ML_away,PercentBet_Spread_away,Open_Line_Spread_away,Open_Odds_Spread_away,Pinnacle_Line_Spread_away,Pinnacle_Odds_Spread_away,5dimes_Line_Spread_away,5dimes_Odds_Spread_away,Heritage_Line_Spread_away,Heritage_Odds_Spread_away,Bovada_Line_Spread_away,Bovada_Odds_Spread_away,Betonline_Line_Spread_away,Betonline_Odds_Spread_away,Average_Line_Spread_away,Average_Odds_Spread_away,Best_Line_Spread_away,Worst_Line_Spread_away,Best_Odds_Spread_away,Worst_Odds_Spread_away,PercentBet_OU_away,Open_Line_OU_away,Open_Odds_OU_away,Pinnacle_Line_OU_away,Pinnacle_Odds_OU_away,5dimes_Line_OU_away,5dimes_Odds_OU_away,Heritage_Line_OU_away,Heritage_Odds_OU_away,Bovada_Line_OU_away,Bovada_Odds_OU_away,Betonline_Line_OU_away,Betonline_Odds_OU_away,Average_Line_OU_away,Average_Odds_OU_away,Best_Line_OU_away,Worst_Line_OU_away,Best_Odds_OU_away,Worst_Odds_OU_away,Pts_away,Spread_away,Result_away,Total_away,playoffs_away,home_team_bin_away,team_abbv_away
2019-06-13,home,Golden State,Toronto,1610612744,41800406,45.8,-175.0,-138.0,-135.0,-145.0,,-138.0,-139.0,-135.0,-145.0,46.0,-3.5,-110.0,-2.5,-107.0,-2.5,-105.0,-2.5,-105.0,-2.5,-105.0,-2.5,-110.0,-2.67,-107.0,-2.5,-3.5,-105.0,-110.0,38.2,211.0,-109.0,211.5,-108.0,212.0,-108.0,212.0,-105.0,212.5,-105.0,211.5,-110.0,211.75,-107.5,212.5,211.0,-105.0,-110.0,110.0,-4.0,L,224.0,1,True,GSW,201906130GSW,2019-06-13,away,Toronto,Golden State,1610612761,41800406,54.2,151.0,125.0,125.0,125.0,,118.0,123.25,125.0,118.0,54.0,3.5,-110.0,2.5,-103.0,2.5,-105.0,2.5,-105.0,2.5,-115.0,2.5,-110.0,2.67,-108.0,3.5,2.5,-103.0,-115.0,61.8,211.0,-111.0,211.5,-102.0,212.0,-102.0,212.0,-105.0,212.5,-115.0,211.5,-110.0,211.75,-107.5,212.5,211.0,-102.0,-115.0,114.0,4.0,W,224.0,1,False,TOR
2019-06-10,home,Toronto,Golden State,1610612761,41800405,40.3,-155.0,-106.0,-105.0,-110.0,-260.0,-113.0,-138.8,-105.0,-260.0,45.1,-3.0,-105.0,-1.0,-103.0,,,,,1.0,-110.0,-1.0,-110.0,-1.0,-107.0,1.0,-3.0,-103.0,-110.0,39.5,211.5,-110.0,217.0,-106.0,217.0,-105.0,217.0,-105.0,217.0,-105.0,217.0,-110.0,216.08,-106.83,217.0,211.5,-105.0,-110.0,105.0,-1.0,L,211.0,1,True,TOR,201906100TOR,2019-06-10,away,Golden State,Toronto,1610612744,41800405,59.7,135.0,-104.0,-105.0,-110.0,215.0,-107.0,-42.2,215.0,-110.0,54.9,3.0,-115.0,1.0,-107.0,,,,,-1.0,-110.0,1.0,-110.0,1.0,-110.5,3.0,-1.0,-107.0,-115.0,60.5,211.5,-110.0,217.0,-104.0,217.0,-105.0,217.0,-105.0,217.0,-115.0,217.0,-110.0,216.08,-108.17,217.0,211.5,-104.0,-115.0,106.0,1.0,W,211.0,1,False,GSW
2019-06-07,home,Golden State,Toronto,1610612744,41800404,50.2,-253.0,-216.0,,-230.0,-225.0,-215.0,-221.5,-215.0,-230.0,53.9,-4.5,-110.0,-5.0,-109.0,-5.0,-107.0,-5.0,-105.0,-5.0,-115.0,-5.0,-113.0,-4.92,-109.83,-4.5,-5.0,-105.0,-115.0,42.7,,,,,214.5,-105.0,215.5,-105.0,,,,,215.0,-105.0,215.5,214.5,-105.0,-105.0,92.0,-13.0,L,197.0,1,True,GSW,201906070GSW,2019-06-07,away,Toronto,Golden State,1610612761,41800404,49.8,210.0,193.0,,195.0,185.0,185.0,189.5,195.0,185.0,46.1,4.5,-110.0,5.0,-101.0,5.0,-103.0,5.0,-105.0,5.0,-105.0,5.0,-107.0,4.92,-105.17,5.0,4.5,-101.0,-110.0,57.3,,,,,214.5,-105.0,215.5,-105.0,,,,,215.0,-105.0,215.5,214.5,-105.0,-105.0,105.0,13.0,W,197.0,1,False,TOR
2019-06-05,home,Golden State,Toronto,1610612744,41800403,40.3,-220.0,-133.0,-148.0,-140.0,,-135.0,-139.0,-133.0,-148.0,44.6,,,-2.5,-100.0,5.5,-300.0,-2.5,-105.0,-3.0,-105.0,-3.0,-100.0,-1.1,-142.0,5.5,-3.0,-100.0,-300.0,47.3,,,,,218.0,-240.0,210.0,-105.0,211.5,-110.0,210.5,-120.0,212.5,-143.75,218.0,210.0,-105.0,-240.0,109.0,-14.0,L,232.0,1,True,GSW,201906050GSW,2019-06-05,away,Toronto,Golden State,1610612761,41800403,59.7,184.0,120.0,138.0,120.0,,115.0,123.25,138.0,115.0,55.4,,,2.5,-110.0,-5.5,-250.0,2.5,-105.0,3.0,-115.0,3.0,-120.0,1.1,-140.0,3.0,-5.5,-105.0,-250.0,52.7,,,,,218.0,-200.0,210.0,-105.0,211.5,-110.0,210.5,-100.0,212.5,-128.75,218.0,210.0,-100.0,-200.0,123.0,14.0,W,232.0,1,False,TOR
2019-06-02,home,Toronto,Golden State,1610612761,41800402,34.3,-120.0,,-132.0,-130.0,-115.0,-130.0,-126.75,-115.0,-132.0,41.6,-1.5,-110.0,-2.5,-104.0,-2.0,-110.0,,,-2.0,-100.0,-2.5,-110.0,-2.1,-106.8,-1.5,-2.5,-100.0,-110.0,43.5,215.0,-110.0,213.5,-103.0,,,214.0,-105.0,214.0,-115.0,,,214.12,-108.25,215.0,213.5,-103.0,-115.0,104.0,-5.0,L,213.0,1,True,TOR,201906020TOR,2019-06-02,away,Golden State,Toronto,1610612744,41800402,65.7,100.0,,122.0,110.0,-105.0,110.0,59.25,122.0,-105.0,58.4,1.5,-110.0,2.5,-106.0,2.0,-100.0,,,2.0,-120.0,2.5,-110.0,2.1,-109.2,2.5,1.5,-100.0,-120.0,56.5,215.0,-110.0,213.5,-107.0,,,214.0,-105.0,214.0,-105.0,,,214.12,-106.75,215.0,213.5,-105.0,-110.0,109.0,5.0,W,213.0,1,False,GSW
2019-05-30,home,Toronto,Golden State,1610612761,41800401,36.6,-105.0,-128.0,-120.0,-125.0,-115.0,-131.0,-123.8,-115.0,-131.0,44.7,1.0,-105.0,-2.0,-108.0,-1.5,-110.0,-2.0,-105.0,-1.0,-120.0,-2.0,-110.0,-1.25,-109.67,1.0,-2.0,-105.0,-120.0,46.7,214.5,-110.0,212.5,-113.0,212.5,-108.0,213.0,-105.0,213.0,-105.0,212.5,-110.0,213.0,-108.5,214.5,212.5,-105.0,-113.0,118.0,9.0,W,227.0,1,True,TOR,201905300TOR,2019-05-30,away,Golden State,Toronto,1610612744,41800401,63.4,-115.0,116.0,110.0,105.0,-105.0,111.0,67.4,116.0,-105.0,55.3,-1.0,-115.0,2.0,-102.0,1.5,-100.0,2.0,-105.0,1.0,-100.0,2.0,-110.0,1.25,-105.33,2.0,-1.0,-100.0,-115.0,53.3,214.5,-110.0,212.5,-102.0,212.5,-102.0,213.0,-105.0,213.0,-115.0,212.5,-110.0,213.0,-107.33,214.5,212.5,-102.0,-115.0,109.0,-9.0,L,227.0,1,False,GSW
2019-05-20,home,Portland,Golden State,1610612757,41800314,51.7,140.0,111.0,115.0,110.0,115.0,105.0,111.2,115.0,105.0,44.4,3.0,-110.0,2.0,-109.0,2.0,-109.0,2.0,-105.0,2.5,-110.0,2.0,-115.0,2.25,-109.67,3.0,2.0,-105.0,-115.0,48.3,220.0,-110.0,219.0,-107.0,218.5,-105.0,218.5,-105.0,219.0,-110.0,218.5,-111.0,218.92,-108.0,220.0,218.5,-105.0,-111.0,117.0,-2.0,L,236.0,1,True,POR,201905200POR,2019-05-20,away,Golden State,Portland,1610612744,41800314,48.3,-160.0,-122.0,-125.0,-130.0,-135.0,-125.0,-127.4,-122.0,-135.0,55.6,-3.0,-110.0,-2.0,-101.0,-2.0,-101.0,-2.0,-105.0,-2.5,-110.0,-2.0,-105.0,-2.25,-105.33,-2.0,-3.0,-101.0,-110.0,51.7,220.0,-110.0,219.0,-103.0,218.5,-105.0,218.5,-105.0,219.0,-110.0,218.5,-109.0,218.92,-107.0,220.0,218.5,-103.0,-110.0,119.0,2.0,W,236.0,1,False,GSW
2019-05-18,home,Portland,Golden State,1610612757,41800313,47.1,-135.0,-148.0,-145.0,-155.0,-140.0,-152.0,-148.0,-140.0,-155.0,53.6,-2.5,-105.0,-3.0,-105.0,-3.0,-102.0,-3.0,-105.0,-3.0,-110.0,-3.0,-111.0,-2.92,-106.33,-2.5,-3.0,-102.0,-111.0,41.7,,,221.0,-108.0,221.0,-105.0,221.0,-105.0,222.0,-110.0,220.5,-110.0,221.1,-107.6,222.0,220.5,-105.0,-110.0,99.0,-11.0,L,209.0,1,True,POR,201905180POR,2019-05-18,away,Golden State,Portland,1610612744,41800313,52.9,115.0,134.0,135.0,135.0,120.0,132.0,131.2,135.0,120.0,46.4,2.5,-115.0,3.0,-105.0,3.0,-108.0,3.0,-105.0,3.0,-110.0,3.0,-109.0,2.92,-108.67,3.0,2.5,-105.0,-115.0,58.3,,,221.0,-102.0,221.0,-105.0,221.0,-105.0,222.0,-110.0,220.5,-110.0,221.1,-106.4,222.0,220.5,-102.0,-110.0,110.0,11.0,W,209.0,1,False,GSW
2019-05-16,home,Golden State,Portland,1610612744,41800312,48.8,-340.0,-295.0,-295.0,-320.0,-340.0,-310.0,-312.0,-295.0,-340.0,49.6,-8.0,-110.0,-7.0,-106.0,-7.0,-101.0,-7.0,-105.0,-7.0,-115.0,-7.0,-113.0,-7.17,-108.33,-7.0,-8.0,-101.0,-115.0,41.3,217.0,-110.0,219.5,-105.0,219.5,-105.0,220.5,-105.0,220.5,-115.0,220.0,-107.0,219.5,-107.83,220.5,217.0,-105.0,-115.0,114.0,3.0,W,225.0,1,True,GSW,201905160GSW,2019-05-16,away,Portland,Golden State,1610612757,41800312,51.2,274.0,260.0,265.0,260.0,270.0,260.0,263.0,270.0,260.0,50.4,8.0,-110.0,7.0,-104.0,7.0,-109.0,7.0,-105.0,7.0,-105.0,7.0,-107.0,7.17,-106.67,8.0,7.0,-104.0,-110.0,58.7,217.0,-110.0,219.5,-105.0,219.5,-105.0,220.5,-105.0,220.5,-105.0,220.0,-113.0,219.5,-107.17,220.5,217.0,-105.0,-113.0,111.0,-3.0,L,225.0,1,False,POR
2019-05-14,home,Golden State,Portland,1610612744,41800311,48.2,-355.0,-306.0,-300.0,-330.0,-500.0,-310.0,-349.2,-300.0,-500.0,46.5,-8.0,-110.0,-7.5,-101.0,-7.0,-108.0,-7.0,-105.0,-7.0,-115.0,-7.5,-107.0,-7.33,-107.67,-7.0,-8.0,-101.0,-115.0,40.3,218.5,-110.0,220.5,-102.0,221.0,-105.0,221.0,-105.0,221.0,-110.0,220.5,-103.0,220.42,-105.83,221.0,218.5,-102.0,-110.0,116.0,22.0,W,210.0,1,True,GSW,201905140GSW,2019-05-14,away,Portland,Golden State,1610612757,41800311,51.8,285.0,269.0,270.0,270.0,350.0,260.0,283.8,350.0,260.0,53.5,8.0,-110.0,7.5,-109.0,7.0,-102.0,7.0,-105.0,7.0,-105.0,7.5,-113.0,7.33,-107.33,8.0,7.0,-102.0,-113.0,59.7,218.5,-110.0,220.5,-113.0,221.0,-105.0,221.0,-105.0,221.0,-110.0,220.5,-117.0,220.42,-110.0,221.0,218.5,-105.0,-117.0,94.0,-22.0,L,210.0,1,False,POR
