abbv,efg_pct,orb_pct,tov_pct,fta_per_fga_pct,game_possessions,pts,game_code,date,season
TOR,0.544,0.261,0.107,0.22,100.72168478260869,116,201810260TOR,2018-10-26 19:30:00,18-19
DAL,0.478,0.208,0.12,0.261,100.72168478260869,107,201810260TOR,2018-10-26 19:30:00,18-19
BOS,0.475,0.302,0.119,0.101,97.78027672955974,101,201810190TOR,2018-10-19 20:00:00,18-19
TOR,0.538,0.267,0.107,0.207,97.78027672955974,113,201810190TOR,2018-10-19 20:00:00,18-19
TOR,0.565,0.186,0.082,0.217,100.326146179402,116,201810170TOR,2018-10-17 19:30:00,18-19
CLE,0.441,0.286,0.135,0.459,100.326146179402,104,201810170TOR,2018-10-17 19:30:00,18-19
TOR,0.661,0.156,0.122,0.161,100.18084943181819,127,201810220TOR,2018-10-22 19:30:00,18-19
CHO,0.469,0.255,0.103,0.186,100.18084943181819,106,201810220TOR,2018-10-22 19:30:00,18-19
TOR,0.579,0.282,0.145,0.135,97.32855311355311,112,201810240TOR,2018-10-24 19:30:00,18-19
MIN,0.495,0.327,0.127,0.167,97.32855311355311,105,201810240TOR,2018-10-24 19:30:00,18-19
DET,0.538,0.159,0.149,0.143,105.14193181818182,106,201811140TOR,2018-11-14 19:30:00,18-19
TOR,0.511,0.273,0.167,0.185,105.14193181818182,104,201811140TOR,2018-11-14 19:30:00,18-19
NOP,0.596,0.318,0.11,0.131,101.22864065180102,126,201811120TOR,2018-11-12 19:30:00,18-19
TOR,0.469,0.245,0.086,0.227,101.22864065180102,110,201811120TOR,2018-11-12 19:30:00,18-19
NYK,0.49,0.32,0.117,0.229,99.97341395348838,112,201811100TOR,2018-11-10 15:00:00,18-19
TOR,0.62,0.279,0.134,0.506,99.97341395348838,128,201811100TOR,2018-11-10 15:00:00,18-19
PHI,0.495,0.333,0.181,0.33,107.0925641025641,112,201810300TOR,2018-10-30 19:30:00,18-19
TOR,0.571,0.231,0.126,0.304,107.0925641025641,129,201810300TOR,2018-10-30 19:30:00,18-19
WAS,0.445,0.275,0.1,0.19,101.1862585499316,107,201811230TOR,2018-11-23 19:30:00,18-19
TOR,0.586,0.302,0.129,0.204,101.1862585499316,125,201811230TOR,2018-11-23 19:30:00,18-19
LAC,0.438,0.149,0.113,0.326,103.23494326241135,103,201902030TOR,2019-02-03 15:00:00,18-19
TOR,0.505,0.356,0.115,0.33,103.23494326241135,121,201902030TOR,2019-02-03 15:00:00,18-19
CLE,0.53,0.262,0.104,0.366,94.05428571428571,110,201812210TOR,2018-12-21 19:00:00,18-19
TOR,0.577,0.31,0.072,0.286,94.05428571428571,126,201812210TOR,2018-12-21 19:00:00,18-19
TOR,0.5,0.264,0.077,0.34,100.89510781671159,120,201902220TOR,2019-02-22 19:00:00,18-19
SAS,0.551,0.214,0.124,0.247,100.89510781671159,117,201902220TOR,2019-02-22 19:00:00,18-19
TOR,0.653,0.147,0.125,0.25,103.62652149321266,128,201903180TOR,2019-03-18 19:30:00,18-19
NYK,0.376,0.135,0.116,0.376,103.62652149321266,92,201903180TOR,2019-03-18 19:30:00,18-19
TOR,0.617,0.057,0.134,0.259,100.39058241758242,119,201903010TOR,2019-03-01 20:00:00,18-19
POR,0.576,0.231,0.144,0.271,100.39058241758242,117,201903010TOR,2019-03-01 20:00:00,18-19
BRK,0.483,0.176,0.144,0.341,108.64991379310345,105,201901110TOR,2019-01-11 19:30:00,18-19
TOR,0.51,0.224,0.072,0.229,108.64991379310345,122,201901110TOR,2019-01-11 19:30:00,18-19
TOR,0.446,0.216,0.081,0.226,97.12099234815878,99,201812190TOR,2018-12-19 19:30:00,18-19
IND,0.531,0.22,0.187,0.2,97.12099234815878,96,201812190TOR,2018-12-19 19:30:00,18-19
TOR,0.606,0.194,0.122,0.267,104.57074172576831,131,201811290TOR,2018-11-29 20:00:00,18-19
GSW,0.539,0.362,0.111,0.194,104.57074172576831,128,201811290TOR,2018-11-29 20:00:00,18-19
TOR,0.47,0.309,0.091,0.22,101.76405996131527,113,201812050TOR,2018-12-05 20:00:00,18-19
PHI,0.517,0.234,0.182,0.159,101.76405996131527,102,201812050TOR,2018-12-05 20:00:00,18-19
TOR,0.541,0.225,0.126,0.291,98.463875,111,201901170TOR,2019-01-17 19:30:00,18-19
PHO,0.482,0.333,0.138,0.429,98.463875,109,201901170TOR,2019-01-17 19:30:00,18-19
TOR,0.565,0.188,0.117,0.326,110.845,129,201902130TOR,2019-02-13 19:30:00,18-19
WAS,0.524,0.085,0.151,0.464,110.845,120,201902130TOR,2019-02-13 19:30:00,18-19
OKC,0.553,0.255,0.107,0.149,96.35715285554312,116,201903220TOR,2019-03-22 19:30:00,18-19
TOR,0.583,0.289,0.194,0.269,96.35715285554312,109,201903220TOR,2019-03-22 19:30:00,18-19
TOR,0.58,0.178,0.074,0.149,98.80168794326241,118,201902260TOR,2019-02-26 20:00:00,18-19
BOS,0.419,0.213,0.125,0.326,98.80168794326241,95,201902260TOR,2019-02-26 20:00:00,18-19
ORL,0.527,0.25,0.115,0.161,99.42420731707317,109,201904010TOR,2019-04-01 19:30:00,18-19
TOR,0.613,0.146,0.13,0.262,99.42420731707317,121,201904010TOR,2019-04-01 19:30:00,18-19
TOR,0.418,0.315,0.098,0.217,93.14046296296296,95,201812300TOR,2018-12-30 18:00:00,18-19
CHI,0.456,0.167,0.154,0.225,93.14046296296296,89,201812300TOR,2018-12-30 18:00:00,18-19
TOR,0.592,0.161,0.114,0.217,104.6670564516129,127,201902110TOR,2019-02-11 19:30:00,18-19
BRK,0.636,0.125,0.127,0.205,104.6670564516129,125,201902110TOR,2019-02-11 19:30:00,18-19
TOR,0.591,0.139,0.085,0.427,99.26030982905982,122,201901010TOR,2019-01-01 19:30:00,18-19
UTA,0.479,0.231,0.035,0.299,99.26030982905982,116,201901010TOR,2019-01-01 19:30:00,18-19
ORL,0.538,0.25,0.107,0.22,100.04777173913044,113,201902240TOR,2019-02-24 15:30:00,18-19
TOR,0.478,0.13,0.118,0.154,100.04777173913044,98,201902240TOR,2019-02-24 15:30:00,18-19
HOU,0.535,0.225,0.088,0.212,90.239975,107,201903050TOR,2019-03-05 20:00:00,18-19
TOR,0.466,0.32,0.119,0.18,90.239975,95,201903050TOR,2019-03-05 20:00:00,18-19
TOR,0.525,0.14,0.164,0.338,103.78380434782609,104,201901080TOR,2019-01-08 19:30:00,18-19
ATL,0.517,0.283,0.217,0.184,103.78380434782609,101,201901080TOR,2019-01-08 19:30:00,18-19
IND,0.479,0.267,0.12,0.213,99.737,105,201901060TOR,2019-01-06 19:30:00,18-19
TOR,0.618,0.2,0.14,0.2,99.737,121,201901060TOR,2019-01-06 19:30:00,18-19
CHO,0.538,0.304,0.065,0.183,90.69875776397515,115,201903240TOR,2019-03-24 18:00:00,18-19
TOR,0.656,0.107,0.136,0.169,90.69875776397515,114,201903240TOR,2019-03-24 18:00:00,18-19
TOR,0.558,0.05,0.139,0.186,104.52265909090909,112,201903260TOR,2019-03-26 19:30:00,18-19
CHI,0.5,0.159,0.16,0.233,104.52265909090909,103,201903260TOR,2019-03-26 19:30:00,18-19
MIL,0.582,0.184,0.172,0.215,100.35828689370486,105,201901310TOR,2019-01-31 20:00:00,18-19
TOR,0.435,0.157,0.139,0.14,100.35828689370486,92,201901310TOR,2019-01-31 20:00:00,18-19
DEN,0.511,0.306,0.167,0.27,101.38195121951219,106,201812030TOR,2018-12-03 19:30:00,18-19
TOR,0.523,0.171,0.156,0.138,101.38195121951219,103,201812030TOR,2018-12-03 19:30:00,18-19
SAC,0.489,0.227,0.122,0.242,104.04445454545456,105,201901220TOR,2019-01-22 19:00:00,18-19
TOR,0.527,0.267,0.131,0.385,104.04445454545456,120,201901220TOR,2019-01-22 19:00:00,18-19
MIA,0.489,0.321,0.06,0.337,95.96381367924528,115,201811250TOR,2018-11-25 18:00:00,18-19
TOR,0.583,0.275,0.082,0.278,95.96381367924528,125,201811250TOR,2018-11-25 18:00:00,18-19
MIL,0.5,0.209,0.103,0.23,94.30248391885206,104,201812090TOR,2018-12-09 18:00:00,18-19
TOR,0.495,0.234,0.102,0.074,94.30248391885206,99,201812090TOR,2018-12-09 18:00:00,18-19
TOR,0.484,0.245,0.141,0.319,106.52988050314465,111,201903140TOR,2019-03-14 20:00:00,18-19
LAL,0.488,0.133,0.173,0.282,106.52988050314465,98,201903140TOR,2019-03-14 20:00:00,18-19
MEM,0.488,0.256,0.217,0.188,96.9677435897436,90,201901190TOR,2019-01-19 19:30:00,18-19
TOR,0.583,0.2,0.093,0.178,96.9677435897436,119,201901190TOR,2019-01-19 19:30:00,18-19
NYK,0.462,0.264,0.138,0.22,100.20148349056603,100,201812060BOS,2018-12-06 20:00:00,18-19
BOS,0.603,0.175,0.082,0.217,100.20148349056603,128,201812060BOS,2018-12-06 20:00:00,18-19
BOS,0.481,0.217,0.072,0.185,111.39901470588234,121,201812250BOS,2018-12-25 17:30:00,18-19
PHI,0.495,0.176,0.154,0.315,111.39901470588234,114,201812250BOS,2018-12-25 17:30:00,18-19
BOS,0.648,0.25,0.117,0.273,101.27161764705882,135,201901090BOS,2019-01-09 19:00:00,18-19
IND,0.478,0.235,0.094,0.363,101.27161764705882,108,201901090BOS,2019-01-09 19:00:00,18-19
BOS,0.547,0.269,0.106,0.115,96.86612307692307,114,201901040BOS,2019-01-04 20:00:00,18-19
DAL,0.449,0.22,0.127,0.216,96.86612307692307,93,201901040BOS,2019-01-04 20:00:00,18-19
TOR,0.475,0.138,0.13,0.255,120.30616091954023,118,201905190TOR,2019-05-19 19:00:00,18-19
MIL,0.441,0.217,0.146,0.324,120.30616091954023,112,201905190TOR,2019-05-19 19:00:00,18-19
TOR,0.546,0.154,0.069,0.195,93.67490384615384,111,201904160TOR,2019-04-16 20:00:00,18-19
ORL,0.426,0.25,0.157,0.296,93.67490384615384,82,201904160TOR,2019-04-16 20:00:00,18-19
TOR,0.571,0.182,0.129,0.247,98.82346153846154,115,201904230TOR,2019-04-23 19:00:00,18-19
ORL,0.44,0.231,0.142,0.373,98.82346153846154,96,201904230TOR,2019-04-23 19:00:00,18-19
GSW,0.513,0.237,0.149,0.397,93.5716812865497,109,201905300TOR,2019-05-30 21:00:00,18-19
TOR,0.591,0.194,0.099,0.416,93.5716812865497,118,201905300TOR,2019-05-30 21:00:00,18-19
ORL,0.462,0.16,0.085,0.108,96.39179999999999,93,201810220BOS,2018-10-22 19:30:00,18-19
BOS,0.456,0.18,0.112,0.099,96.39179999999999,90,201810220BOS,2018-10-22 19:30:00,18-19
NOP,0.494,0.14,0.12,0.218,98.18610588817417,100,201812100BOS,2018-12-10 19:30:00,18-19
BOS,0.556,0.298,0.117,0.211,98.18610588817417,113,201812100BOS,2018-12-10 19:30:00,18-19
CHO,0.477,0.2,0.083,0.295,96.86141025641027,103,201812230BOS,2018-12-23 18:00:00,18-19
BOS,0.576,0.282,0.126,0.291,96.86141025641027,119,201812230BOS,2018-12-23 18:00:00,18-19
TOR,0.576,0.056,0.1,0.304,96.50643790849674,108,201904270TOR,2019-04-27 19:30:00,18-19
PHI,0.455,0.255,0.125,0.236,96.50643790849674,95,201904270TOR,2019-04-27 19:30:00,18-19
