ml_winnings,spread_winnings,total_winnings,book,game_id,season,date,agg_winnings,day
10.64,-25.00,-25.00,BOVADA,1386611,20-21,2021-05-16 13:00:00,-39.36,2021-05-16
10.21,-25.00,-25.00,GTBets,1386611,20-21,2021-05-16 13:00:00,-39.80,2021-05-16
10.21,-25.00,-25.00,MyBookie,1386611,20-21,2021-05-16 13:00:00,-39.80,2021-05-16
10.64,-25.00,-25.00,BetNow,1386611,20-21,2021-05-16 13:00:00,-39.36,2021-05-16
10.42,-25.00,-25.00,SportsBetting,1386611,20-21,2021-05-16 13:00:00,-39.58,2021-05-16
10.87,-25.00,-25.00,Intertops,1386611,20-21,2021-05-16 13:00:00,-39.13,2021-05-16
10.42,-25.00,-25.00,BetOnline,1386611,20-21,2021-05-16 13:00:00,-39.58,2021-05-16
12.02,-25.00,-25.00,Opening,1386611,20-21,2021-05-16 13:00:00,-37.98,2021-05-16
12.02,-25.00,-25.00,best,1386611,20-21,2021-05-16 13:00:00,-37.98,2021-05-16
10.21,-25.00,-25.00,worst,1386611,20-21,2021-05-16 13:00:00,-39.80,2021-05-16
10.68,-25.00,-25.00,average,1386611,20-21,2021-05-16 13:00:00,-39.32,2021-05-16
2.08,-25.00,-25.00,BOVADA,1386426,20-21,2021-05-11 19:30:00,-47.92,2021-05-11
2.36,-25.00,-25.00,GTBets,1386426,20-21,2021-05-11 19:30:00,-47.64,2021-05-11
1.92,-25.00,-25.00,MyBookie,1386426,20-21,2021-05-11 19:30:00,-48.08,2021-05-11
2.27,-25.00,-25.00,BetNow,1386426,20-21,2021-05-11 19:30:00,-47.73,2021-05-11
2.63,-25.00,-25.00,SportsBetting,1386426,20-21,2021-05-11 19:30:00,-47.37,2021-05-11
2.27,-25.00,-25.00,Intertops,1386426,20-21,2021-05-11 19:30:00,-47.73,2021-05-11
2.63,-25.00,-25.00,BetOnline,1386426,20-21,2021-05-11 19:30:00,-47.37,2021-05-11
3.12,-25.00,-25.00,Opening,1386426,20-21,2021-05-11 19:30:00,-46.88,2021-05-11
3.12,-25.00,-25.00,best,1386426,20-21,2021-05-11 19:30:00,-46.88,2021-05-11
1.92,-25.00,-25.00,worst,1386426,20-21,2021-05-11 19:30:00,-48.08,2021-05-11
2.41,-25.00,-25.00,average,1386426,20-21,2021-05-11 19:30:00,-47.59,2021-05-11
10.00,-25.00,22.73,BOVADA,1386321,20-21,2021-05-08 19:30:00,7.73,2021-05-08
9.80,-25.00,22.93,GTBets,1386321,20-21,2021-05-08 19:30:00,7.74,2021-05-08
9.80,-25.00,22.73,MyBookie,1386321,20-21,2021-05-08 19:30:00,7.53,2021-05-08
9.80,-25.00,22.73,BetNow,1386321,20-21,2021-05-08 19:30:00,7.53,2021-05-08
10.21,-25.00,22.73,SportsBetting,1386321,20-21,2021-05-08 19:30:00,7.93,2021-05-08
10.00,-25.00,22.73,Intertops,1386321,20-21,2021-05-08 19:30:00,7.73,2021-05-08
10.21,-25.00,22.73,BetOnline,1386321,20-21,2021-05-08 19:30:00,7.93,2021-05-08
13.74,-25.00,22.73,Opening,1386321,20-21,2021-05-08 19:30:00,11.46,2021-05-08
13.74,-25.00,22.93,best,1386321,20-21,2021-05-08 19:30:00,11.67,2021-05-08
9.80,-25.00,22.73,worst,1386321,20-21,2021-05-08 19:30:00,7.53,2021-05-08
