book,day,ml_winnings,spread_winnings,total_winnings,agg_winnings,season
worst,2017-10-17,-14.27,45.05,-2.27,28.51,17-18
worst,2017-10-18,-104.24,-131.82,-38.26,-274.32,17-18
worst,2017-10-19,14.33,-75.00,20.45,-40.21,17-18
worst,2017-10-20,91.82,83.10,-10.08,164.84,17-18
worst,2017-10-21,-88.19,-85.08,11.36,-161.91,17-18
worst,2017-10-22,-32.14,20.45,-75.00,-86.69,17-18
worst,2017-10-23,-8.92,38.94,-57.80,-27.79,17-18
worst,2017-10-24,118.57,40.31,-55.53,103.35,17-18
worst,2017-10-25,-18.62,-14.51,84.09,50.95,17-18
worst,2017-10-26,69.44,65.31,-77.27,57.47,17-18
worst,2017-10-27,32.27,15.91,-33.79,14.39,17-18
worst,2017-10-28,-51.18,-12.61,-200.00,-263.79,17-18
worst,2017-10-29,-26.60,15.91,14.70,4.01,17-18
worst,2017-10-30,50.83,59.39,13.64,123.86,17-18
worst,2017-10-31,35.56,89.55,43.18,168.30,17-18
worst,2017-11-01,42.52,76.65,-62.90,56.28,17-18
worst,2017-11-02,14.05,45.45,-50.00,9.50,17-18
worst,2017-11-03,-143.87,-111.28,-62.35,-317.50,17-18
worst,2017-11-04,-2.05,20.05,17.78,35.77,17-18
worst,2017-11-05,-0.83,34.78,-11.06,22.89,17-18
worst,2017-11-06,28.99,20.45,68.18,117.62,17-18
worst,2017-11-07,-81.35,-9.09,-14.06,-104.50,17-18
worst,2017-11-08,-32.49,-125.00,18.18,-139.31,17-18
worst,2017-11-09,24.96,17.20,-31.44,10.71,17-18
worst,2017-11-10,125.04,86.36,-104.55,106.86,17-18
worst,2017-11-11,-57.07,-38.53,-35.69,-131.28,17-18
worst,2017-11-12,9.62,-5.94,-4.55,-0.86,17-18
worst,2017-11-13,-23.96,58.48,155.28,189.80,17-18
worst,2017-11-14,-40.74,21.74,20.45,1.45,17-18
worst,2017-11-15,113.91,153.45,-85.89,181.47,17-18
worst,2017-11-16,-22.92,-50.00,-50.00,-122.92,17-18
worst,2017-11-17,29.23,-36.97,-85.99,-93.72,17-18
worst,2017-11-18,-49.40,-78.26,-32.22,-159.88,17-18
worst,2017-11-19,19.32,87.84,-100.00,7.16,17-18
worst,2017-11-20,86.22,56.91,-36.77,106.36,17-18
worst,2017-11-21,10.21,21.74,22.73,54.67,17-18
worst,2017-11-22,-103.28,-113.56,-159.69,-376.54,17-18
worst,2017-11-24,-153.81,34.39,82.50,-36.92,17-18
worst,2017-11-25,-90.46,-154.55,-11.57,-256.57,17-18
worst,2017-11-26,29.58,19.28,-27.68,21.18,17-18
worst,2017-11-27,18.84,36.24,37.65,92.74,17-18
worst,2017-11-28,59.86,63.33,-30.34,92.85,17-18
worst,2017-11-29,51.54,79.56,-9.89,121.21,17-18
worst,2017-11-30,-7.61,-28.26,-77.88,-113.75,17-18
worst,2017-12-01,-53.12,36.85,-9.30,-25.57,17-18
worst,2017-12-02,-10.41,-9.09,132.90,113.40,17-18
worst,2017-12-03,33.06,63.72,17.20,113.97,17-18
worst,2017-12-04,18.39,-38.34,-36.36,-56.32,17-18
worst,2017-12-05,56.42,67.98,-75.00,49.40,17-18
worst,2017-12-06,22.09,37.26,-11.36,47.98,17-18
worst,2017-12-07,18.37,43.18,42.78,104.32,17-18
worst,2017-12-08,-44.09,40.91,37.65,34.47,17-18
worst,2017-12-09,6.65,-108.22,180.63,79.06,17-18
worst,2017-12-10,27.88,88.94,-102.27,14.54,17-18
worst,2017-12-11,32.52,40.11,-54.55,18.08,17-18
worst,2017-12-12,53.78,112.24,-127.27,38.75,17-18
worst,2017-12-13,6.15,108.10,-81.82,32.44,17-18
worst,2017-12-14,-39.23,-30.74,-30.15,-100.11,17-18
worst,2017-12-15,-216.34,59.09,-132.81,-290.05,17-18
