game_id,moneyline_home_number,moneyline_away_number,spread_home_number,spread_odds_home_number,spread_away_number,spread_odds_away_number,total_number,over_odds_number,under_odds_number,market_score_home_number,market_score_away_number,home_abbv,away_abbv,book_x,metric_number,moneyline_home_book,moneyline_away_book,spread_home_book,spread_odds_home_book,spread_away_book,spread_odds_away_book,total_book,over_odds_book,under_odds_book,market_score_home_book,market_score_away_book,metric_book,spread_pick,total_pick,ml_pick,book_y,Best_Book
888630,-198.5900,171.2857,-4.6429,-109.4200,4.6429,-110.5600,216.0714,-110.0000,-110.0000,110.3571,105.7143,CLE,BOS,BetNow,average,BetNow,Opening,BetOnline,BetOnline,Opening,Opening,Opening,Opening,Opening,Opening,BetOnline,best,L,U,W,average,BetOnline
888635,-463.0200,368.5714,-9.4286,-111.9100,9.4286,-107.9000,231.4286,-111.3800,-108.5200,120.4286,111.0000,GSW,HOU,BetNow,average,Opening,BetNow,Opening,Opening,BetOnline,BetOnline,Opening,Opening,BetOnline,Opening,Opening,best,L,U,W,average,BetOnline
888640,-144.2700,124.2857,-2.7857,-108.3900,2.7857,-111.5400,202.1429,-111.3800,-108.5200,102.4643,99.6786,DET,CHO,BetNow,average,Opening,Intertops,Opening,Intertops,Intertops,Opening,Opening,Opening,BetOnline,Opening,Opening,best,L,O,L,average,Intertops
888645,-155.3100,134.5714,-3.1429,-110.0000,3.1429,-110.0000,216.0714,-108.5200,-111.3800,109.6071,106.4643,IND,BRK,BetNow,average,BetOnline,Opening,BetOnline,Opening,Opening,Opening,BetOnline,BetOnline,Opening,BetOnline,BetOnline,best,L,U,L,average,BetOnline
888650,145.0000,-166.7700,3.5714,-108.3900,-3.5714,-110.0800,205.7143,-110.0000,-110.0000,101.0714,104.6429,ORL,MIA,BetNow,average,Opening,BetOnline,Opening,Opening,BetOnline,Opening,Opening,Opening,Opening,Opening,Opening,best,W,U,L,average,BetOnline
888655,-275.1500,232.1429,-6.6429,-110.0000,6.6429,-110.0000,217.2857,-111.3800,-108.5200,111.9643,105.3214,WAS,PHI,BetNow,average,Intertops,Opening,BetOnline,Opening,Opening,Opening,BetNow,Opening,BetOnline,BetNow,BetNow,best,W,U,W,average,BetNow
888660,101.2814,-104.4800,-0.3571,-109.2600,0.3571,-109.2600,204.2857,-106.9400,-112.6800,102.3214,101.9643,BOS,MIL,BetNow,average,Opening,MyBookie,Opening,Opening,BetOnline,Opening,Opening,BetOnline,Opening,BetOnline,Opening,best,W,O,W,average,BetOnline
888665,-132.9700,112.8571,-2.0714,-109.2600,2.0714,-109.2600,204.4286,-110.0000,-110.0000,103.2500,101.1786,MEM,NOP,BetNow,average,Intertops,BetNow,BetOnline,Opening,Opening,Opening,BetOnline,Opening,Opening,Opening,BetOnline,best,L,U,L,average,BetOnline
888670,-225.3100,189.2857,-5.5000,-109.2600,5.5000,-109.2600,199.1429,-110.0000,-110.0000,102.3214,96.8214,DAL,ATL,BetNow,average,BetOnline,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,best,L,U,L,average,BetOnline
888675,-141.9200,121.8571,-2.5000,-109.2600,2.5000,-109.2600,204.7143,-111.3800,-108.5200,103.6071,101.1071,UTA,DEN,BetNow,average,Opening,BetNow,Opening,Opening,Opening,Opening,Intertops,Opening,BetOnline,Intertops,Intertops,best,L,O,L,average,Intertops
