home_abbv,away_abbv,pts_home,pts_away,m3_proj_home,m3_proj_away,moneyline_home_number,spread_home_number,total_number,ml_pk,spread_pk,total_pk,Best_Book,date,season,game_id,ml_winnings,spread_winnings,total_winnings,agg_winnings
CLE,BOS,102,99,107.93,105.66,-198.59,-4.64,216.07,W,W,W,BetOnline,2017-10-17 20:00:00,17-18,888630,12.59,22.61,22.73,57.93
GSW,HOU,121,122,113.92,112.70,-463.02,-9.43,231.43,L,W,L,BetOnline,2017-10-17 22:30:00,17-18,888635,-25.00,23.17,-25.00,-26.83
ORL,MIA,116,109,99.69,102.25,145.00,3.57,205.71,L,W,L,BetOnline,2017-10-18 19:00:00,17-18,888650,-25.00,23.06,-25.00,-26.94
DET,CHO,102,90,100.57,102.33,-144.27,-2.79,202.14,L,L,L,Intertops,2017-10-18 19:00:00,17-18,888640,-25.00,-25.00,-25.00,-75.00
WAS,PHI,120,115,106.97,100.19,-275.15,-6.64,217.29,W,L,L,BetNow,2017-10-18 19:00:00,17-18,888655,9.09,-25.00,-25.00,-40.91
IND,BRK,140,131,102.28,103.65,-155.31,-3.14,216.07,L,L,L,BetOnline,2017-10-18 19:00:00,17-18,888645,-25.00,-25.00,-25.00,-75.00
BOS,MIL,100,108,105.28,102.00,101.28,-0.36,204.29,L,L,W,BetOnline,2017-10-18 19:30:00,17-18,888660,-25.00,-25.00,22.19,-27.81
MEM,NOP,103,91,97.39,102.50,-132.97,-2.07,204.43,L,L,W,BetOnline,2017-10-18 20:00:00,17-18,888665,-25.00,-25.00,22.73,-27.27
DAL,ATL,111,117,96.00,101.36,-225.31,-5.50,199.14,W,W,L,BetOnline,2017-10-18 20:30:00,17-18,888670,47.32,22.88,-25.00,45.20
UTA,DEN,106,96,99.63,109.62,-141.92,-2.50,204.71,L,L,L,Intertops,2017-10-18 21:00:00,17-18,888675,-25.00,-25.00,-25.00,-75.00
SAS,MIN,107,99,103.30,103.29,-128.61,-1.79,203.64,W,L,W,BetOnline,2017-10-18 21:30:00,17-18,888680,19.44,-25.00,23.04,17.48
SAC,HOU,100,105,99.99,113.35,250.71,7.07,216.79,W,L,W,BetOnline,2017-10-18 22:00:00,17-18,888690,8.25,-25.00,22.73,5.98
PHO,POR,76,124,105.48,105.14,120.14,2.57,219.36,L,L,W,BetOnline,2017-10-18 22:00:00,17-18,888685,-25.00,-25.00,22.73,-27.27
TOR,CHI,117,100,104.85,100.61,-1104.10,-13.00,206.79,W,L,L,BetOnline,2017-10-19 19:30:00,17-18,888695,2.27,-25.00,-25.00,-47.73
OKC,NYK,105,84,104.84,102.07,-827.23,-12.43,215.36,W,L,W,BetOnline,2017-10-19 20:00:00,17-18,888700,3.02,-25.00,23.04,1.06
LAL,LAC,92,108,103.38,107.45,196.43,6.29,218.79,W,L,W,Intertops,2017-10-19 22:30:00,17-18,888705,10.71,-25.00,22.73,8.43
MIL,CLE,97,116,102.54,107.13,-102.03,-0.14,209.64,W,W,W,BetNow,2017-10-20 19:00:00,17-18,888725,21.79,22.88,23.04,67.71
CHO,ATL,109,91,101.01,102.82,-192.55,-4.64,205.00,L,L,W,BetOnline,2017-10-20 19:00:00,17-18,888715,-25.00,-25.00,22.73,-27.27
IND,POR,96,114,105.55,106.81,173.57,5.07,220.07,W,L,W,Intertops,2017-10-20 19:00:00,17-18,888710,12.31,-25.00,22.45,9.75
PHI,BOS,92,102,101.48,105.17,-143.20,-2.36,216.50,W,W,W,BetOnline,2017-10-20 19:00:00,17-18,888720,31.11,22.91,22.73,76.75
WAS,DET,115,111,108.09,100.74,-265.65,-6.57,211.64,W,L,L,Intertops,2017-10-20 19:00:00,17-18,888730,9.41,-25.00,-25.00,-40.59
BRK,ORL,126,121,105.69,101.41,-130.16,-2.00,225.64,W,W,L,BetOnline,2017-10-20 19:30:00,17-18,888735,19.21,22.73,-25.00,16.94
MIN,UTA,100,97,102.84,99.89,-190.11,-4.64,197.64,W,W,L,BetOnline,2017-10-20 20:00:00,17-18,888740,13.15,22.73,-25.00,10.88
DAL,SAC,88,93,97.09,99.84,-234.86,-5.93,202.43,W,W,W,BetOnline,2017-10-20 20:30:00,17-18,888745,48.89,22.73,22.73,94.35
NOP,GSW,120,128,101.47,114.61,338.86,8.71,221.43,W,L,L,GTBets,2017-10-20 21:30:00,17-18,888750,6.11,-25.00,-25.00,-43.89
PHO,LAL,130,132,102.89,102.78,-163.15,-3.29,220.93,L,W,L,BetOnline,2017-10-20 22:00:00,17-18,888755,-25.00,23.59,-25.00,-26.41
TOR,PHI,128,94,105.85,100.81,-416.82,-8.71,218.71,W,L,L,BetOnline,2017-10-21 19:30:00,17-18,888760,6.00,-25.00,-25.00,-44.00
HOU,DAL,107,91,112.33,96.29,-775.11,-11.43,215.50,W,W,W,BetOnline,2017-10-21 20:00:00,17-18,888780,3.23,22.91,22.73,48.86
NYK,DET,107,111,100.61,101.38,101.73,1.29,204.64,W,L,L,BetOnline,2017-10-21 20:00:00,17-18,888775,20.57,-25.00,-25.00,-29.43
MIA,IND,112,108,102.82,105.04,-457.55,-9.36,213.86,L,W,L,BetOnline,2017-10-21 20:00:00,17-18,888790,-25.00,22.82,-25.00,-27.18
CHI,SAS,77,87,100.08,103.56,425.00,10.21,200.64,W,W,L,BetOnline,2017-10-21 20:00:00,17-18,888765,4.59,22.61,-25.00,2.21
CLE,ORL,93,114,107.59,102.96,-815.85,-11.57,215.50,L,W,W,BetOnline,2017-10-21 20:00:00,17-18,888770,-25.00,23.04,22.73,20.77
MEM,GSW,111,101,97.96,115.60,298.57,8.43,212.50,L,L,L,Intertops,2017-10-21 20:00:00,17-18,888785,-25.00,-25.00,-25.00,-75.00
MIL,POR,113,110,102.06,107.43,-160.12,-3.43,209.43,L,W,W,BetOnline,2017-10-21 20:30:00,17-18,888795,-25.00,22.45,22.73,20.17
UTA,OKC,96,87,99.50,104.74,158.00,4.00,200.50,L,L,L,BetOnline,2017-10-21 21:00:00,17-18,888800,-25.00,-25.00,-25.00,-75.00
DEN,SAC,96,79,108.24,99.34,-783.09,-12.14,213.29,W,L,W,BetOnline,2017-10-21 21:00:00,17-18,888805,3.19,-25.00,23.04,1.23
LAC,PHO,130,88,107.49,105.52,-1192.10,-13.14,219.50,W,L,W,Intertops,2017-10-21 22:30:00,17-18,888810,2.10,-25.00,22.73,-0.18
BRK,ATL,116,104,107.46,102.01,-122.12,-1.57,219.86,W,W,L,BetNow,2017-10-22 15:30:00,17-18,888815,20.47,23.25,-25.00,18.73
OKC,MIN,113,115,103.36,102.54,-175.87,-4.29,210.93,L,W,L,BetOnline,2017-10-22 19:00:00,17-18,888820,-25.00,22.85,-25.00,-27.15
LAL,NOP,112,119,105.17,103.16,173.57,4.79,221.50,L,L,L,Intertops,2017-10-22 21:30:00,17-18,888825,-25.00,-25.00,-25.00,-75.00
DET,PHI,86,97,101.95,100.67,-161.51,-3.21,213.64,L,W,W,BetOnline,2017-10-23 19:00:00,17-18,888830,-25.00,22.45,22.73,20.17
MIA,ATL,104,93,103.85,101.72,-661.56,-10.71,204.86,W,L,L,Intertops,2017-10-23 19:30:00,17-18,888835,3.78,-25.00,-25.00,-46.22
MIL,CHO,103,94,102.92,101.64,-261.77,-6.57,203.64,W,L,L,Intertops,2017-10-23 20:00:00,17-18,888845,9.55,-25.00,-25.00,-40.45
HOU,MEM,90,98,111.99,98.92,-347.31,-8.07,213.21,L,L,W,BetOnline,2017-10-23 20:00:00,17-18,888840,-25.00,-25.00,22.45,-27.55
SAS,TOR,101,97,102.54,107.47,-147.82,-2.43,202.00,L,L,L,BetOnline,2017-10-23 20:30:00,17-18,888855,-25.00,-25.00,-25.00,-75.00
DAL,GSW,103,133,95.74,114.27,744.29,13.21,216.36,W,W,L,BetNow,2017-10-23 20:30:00,17-18,888850,2.31,22.74,-25.00,0.05
DEN,WAS,104,109,107.46,108.91,-187.56,-4.50,223.93,W,W,W,BetOnline,2017-10-23 21:00:00,17-18,888860,40.53,22.91,22.73,86.17
PHO,SAC,117,115,104.11,97.77,113.45,1.93,207.50,W,W,L,MyBookie,2017-10-23 22:00:00,17-18,888865,28.36,22.88,-25.00,26.24
CLE,CHI,119,112,106.33,98.09,-568.60,-15.50,205.79,W,W,L,BetNow,2017-10-24 19:00:00,17-18,888870,4.40,22.73,-25.00,2.12
ORL,BRK,125,121,103.79,108.34,-189.97,-4.43,228.57,L,W,L,Intertops,2017-10-24 19:00:00,17-18,888875,-25.00,22.73,-25.00,-27.27
BOS,NYK,110,89,105.00,101.02,-309.26,-7.29,208.07,W,L,W,BetOnline,2017-10-24 19:30:00,17-18,888880,8.09,-25.00,22.45,5.53
MIN,IND,107,130,103.53,105.38,-622.39,-10.50,217.79,W,W,L,BetOnline,2017-10-24 20:00:00,17-18,888885,118.86,22.73,-25.00,116.58
POR,NOP,103,93,107.35,104.62,-200.59,-4.71,216.64,W,L,W,BetOnline,2017-10-24 22:00:00,17-18,888890,12.46,-25.00,22.73,10.19
LAC,UTA,102,84,109.41,99.23,-200.21,-4.93,196.50,W,W,L,BetOnline,2017-10-24 22:30:00,17-18,888895,12.49,22.71,-25.00,10.20
DET,MIN,122,101,100.89,103.90,-137.20,-1.93,209.00,L,L,L,BetNow,2017-10-25 19:00:00,17-18,888900,-25.00,-25.00,-25.00,-75.00
PHI,HOU,104,105,100.43,110.33,136.57,3.21,221.43,W,L,W,BetOnline,2017-10-25 19:00:00,17-18,888910,15.97,-25.00,22.73,13.70
